0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.023,0
0.035,0.035,0.048,0.037,0.069,0.009,0.042,0.017,0.023,0.027
0.034,0.034,0.048,0.037,0.068,0.009,0.042,0.017,0.023,0.027
0.033,0.033,0.049,0.038,0.067,0.008,0.042,0.017,0.023,0.027
0.033,0.033,0.049,0.038,0.066,0.008,0.042,0.018,0.024,0.027
0.032,0.032,0.049,0.039,0.065,0.008,0.042,0.018,0.024,0.028
0.032,0.032,0.049,0.039,0.064,0.008,0.043,0.018,0.024,0.028
0.031,0.031,0.05,0.039,0.063,0.008,0.043,0.018,0.025,0.028
0.031,0.031,0.05,0.04,0.062,0.008,0.043,0.019,0.026,0.029
0.03,0.03,0.05,0.04,0.061,0.008,0.043,0.019,0.026,0.029
0.03,0.03,0.05,0.04,0.06,0.008,0.044,0.02,0.027,0.029
0.03,0.03,0.05,0.04,0.059,0.009,0.044,0.02,0.028,0.03
0.029,0.029,0.05,0.04,0.058,0.01,0.045,0.021,0.029,0.03
0.029,0.029,0.05,0.04,0.058,0.01,0.045,0.021,0.03,0.03
0.029,0.029,0.05,0.041,0.057,0.011,0.045,0.022,0.03,0.031
0.029,0.029,0.05,0.041,0.057,0.012,0.046,0.022,0.031,0.031
0.029,0.029,0.05,0.041,0.056,0.013,0.046,0.023,0.032,0.032
0.029,0.029,0.05,0.041,0.056,0.014,0.046,0.024,0.033,0.032
0.029,0.029,0.049,0.041,0.056,0.014,0.046,0.024,0.033,0.032
0.029,0.029,0.049,0.041,0.056,0.015,0.047,0.025,0.034,0.033
0.029,0.029,0.049,0.041,0.057,0.016,0.047,0.025,0.034,0.033
0.03,0.03,0.049,0.041,0.057,0.017,0.047,0.026,0.035,0.034
0.03,0.03,0.049,0.041,0.057,0.018,0.047,0.026,0.035,0.034
0.031,0.031,0.049,0.041,0.058,0.018,0.048,0.027,0.036,0.034
0.031,0.031,0.049,0.041,0.058,0.019,0.048,0.027,0.036,0.035
0.032,0.032,0.049,0.041,0.059,0.019,0.048,0.027,0.037,0.035
0.033,0.033,0.049,0.041,0.059,0.019,0.049,0.028,0.037,0.036
0.033,0.033,0.049,0.041,0.06,0.019,0.049,0.028,0.037,0.037
0.034,0.034,0.049,0.04,0.06,0.02,0.049,0.028,0.038,0.037
0.035,0.035,0.049,0.04,0.06,0.02,0.05,0.028,0.038,0.038
0.036,0.036,0.049,0.04,0.061,0.019,0.05,0.029,0.038,0.038
0.037,0.037,0.05,0.039,0.061,0.019,0.051,0.029,0.038,0.039
0.038,0.038,0.05,0.039,0.061,0.019,0.051,0.03,0.038,0.04
0.039,0.039,0.05,0.038,0.061,0.019,0.052,0.03,0.039,0.04
0.039,0.039,0.051,0.038,0.061,0.019,0.052,0.03,0.039,0.041
0.04,0.04,0.051,0.037,0.061,0.018,0.053,0.031,0.039,0.042
0.041,0.041,0.051,0.036,0.06,0.018,0.053,0.031,0.039,0.043
