Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.002,0.004,-0.016,-0.005,-0.009,0.003,-0.018,-0.003,0.042,-0.006,-0.035,-0.015,0.005,0.011,-0.011,-0.028,0.005,-0.006
,-0.002,0.004,-0.015,0.004,-0.005,0.002,-0.022,-0.002,0.141,-0.005,-0.046,-0.022,0.005,0.008,-0.013,-0.026,0.005,-0.006
,-0.005,0.005,-0.013,0.015,0.001,0.001,-0.026,-0.001,0.209,-0.004,-0.058,-0.025,0.004,0.005,-0.012,-0.02,0.004,-0.004
,-0.007,0.007,-0.011,0.024,0.006,0.002,-0.028,0.001,0.229,-0.004,-0.065,-0.027,0.003,0.001,-0.01,-0.013,0.003,-0.001
,-0.006,0.007,-0.009,0.027,0.01,0.004,-0.028,0.004,0.206,-0.004,-0.064,-0.026,0.002,0,-0.007,-0.007,0.002,0.003
,-0.003,0.006,-0.009,0.025,0.01,0.006,-0.026,0.007,0.163,-0.004,-0.057,-0.025,0.002,-0.001,-0.007,-0.003,0.002,0.007
,0,0.003,-0.01,0.02,0.008,0.007,-0.023,0.009,0.13,-0.002,-0.048,-0.025,0.002,0,-0.009,-0.002,0.002,0.009
,0.003,0.001,-0.012,0.014,0.006,0.008,-0.023,0.009,0.124,0.001,-0.045,-0.025,0.003,0,-0.015,0,0.003,0.009
,0.005,-0.001,-0.012,0.012,0.005,0.008,-0.026,0.008,0.142,0.005,-0.051,-0.025,0.004,0,-0.023,0.002,0.004,0.008
,0.006,0,-0.011,0.014,0.003,0.006,-0.033,0.006,0.155,0.008,-0.062,-0.024,0.004,0,-0.032,0.005,0.004,0.006
,0.007,0,-0.009,0.019,0.002,0.003,-0.041,0.006,0.127,0.011,-0.068,-0.022,0.002,0,-0.039,0.008,0.002,0.004
,0.006,0,-0.007,0.022,-0.001,-0.001,-0.048,0.006,0.037,0.012,-0.061,-0.019,0.001,-0.001,-0.041,0.01,0.001,0.003
,0.004,-0.001,-0.005,0.02,-0.004,-0.005,-0.05,0.007,-0.104,0.012,-0.035,-0.016,0.001,-0.002,-0.039,0.011,0.001,0.003
,0.002,-0.003,-0.005,0.013,-0.006,-0.007,-0.047,0.007,-0.254,0.013,0.005,-0.013,0.003,-0.005,-0.032,0.012,0.003,0.003
,0,-0.004,-0.004,0,-0.007,-0.007,-0.04,0.007,-0.367,0.013,0.046,-0.01,0.006,-0.008,-0.021,0.014,0.006,0.002
,-0.001,-0.004,-0.003,-0.014,-0.006,-0.006,-0.033,0.004,-0.416,0.014,0.078,-0.007,0.01,-0.01,-0.009,0.018,0.01,0.002
,-0.001,-0.004,-0.001,-0.027,-0.003,-0.005,-0.029,0.001,-0.414,0.013,0.094,-0.005,0.012,-0.013,0.003,0.021,0.012,0.001
,0.002,-0.005,0.002,-0.036,0,-0.004,-0.031,-0.002,-0.39,0.011,0.095,-0.002,0.011,-0.016,0.015,0.023,0.011,0.002
,0.004,-0.008,0.005,-0.042,0.003,-0.005,-0.037,-0.004,-0.366,0.007,0.088,0,0.008,-0.019,0.026,0.021,0.008,0.003
,0.004,-0.011,0.008,-0.044,0.004,-0.006,-0.044,-0.006,-0.34,0.003,0.075,0.001,0.003,-0.022,0.034,0.018,0.003,0.003
,0.002,-0.013,0.01,-0.043,0.003,-0.006,-0.05,-0.007,-0.295,-0.001,0.06,0.003,-0.001,-0.025,0.039,0.013,-0.001,0.004
,-0.002,-0.013,0.012,-0.039,0,-0.005,-0.05,-0.007,-0.223,-0.003,0.037,0.005,-0.005,-0.029,0.042,0.009,-0.005,0.003
,-0.008,-0.01,0.013,-0.033,-0.003,-0.003,-0.045,-0.007,-0.139,-0.003,0.006,0.007,-0.006,-0.035,0.048,0.005,-0.006,0.002
,-0.012,-0.005,0.014,-0.025,-0.005,-0.002,-0.037,-0.005,-0.076,-0.002,-0.028,0.009,-0.007,-0.043,0.058,0.002,-0.007,0.002
,-0.015,-0.003,0.013,-0.017,-0.005,-0.001,-0.027,-0.002,-0.057,-0.001,-0.053,0.011,-0.006,-0.05,0.072,-0.003,-0.006,0.003
,-0.015,-0.003,0.012,-0.008,-0.004,-0.001,-0.019,0.003,-0.076,-0.001,-0.056,0.014,-0.005,-0.054,0.089,-0.008,-0.005,0.003
,-0.015,-0.005,0.01,-0.003,-0.002,-0.001,-0.014,0.005,-0.098,-0.003,-0.035,0.017,-0.004,-0.054,0.104,-0.015,-0.004,0.003
,-0.013,-0.008,0.008,-0.001,0.001,0.001,-0.013,0.005,-0.086,-0.004,-0.002,0.021,-0.002,-0.047,0.111,-0.021,-0.002,0.002
,-0.011,-0.009,0.007,-0.005,0.003,0.003,-0.013,0.003,-0.027,-0.006,0.02,0.025,-0.001,-0.034,0.111,-0.024,-0.001,0
,-0.007,-0.008,0.007,-0.014,0.004,0.006,-0.014,0.001,0.061,-0.007,0.013,0.027,0.001,-0.017,0.105,-0.024,0.001,-0.003
,-0.003,-0.006,0.007,-0.022,0.006,0.01,-0.014,-0.002,0.141,-0.008,-0.027,0.028,0.002,0.003,0.097,-0.022,0.002,-0.004
,0.001,-0.004,0.007,-0.025,0.008,0.013,-0.013,-0.002,0.186,-0.007,-0.082,0.028,0.003,0.022,0.09,-0.021,0.003,-0.005
,0.003,-0.004,0.007,-0.019,0.011,0.016,-0.011,-0.002,0.19,-0.007,-0.125,0.025,0.002,0.038,0.083,-0.022,0.002,-0.006
,0.003,-0.005,0.006,-0.004,0.014,0.018,-0.008,-0.002,0.168,-0.006,-0.138,0.022,0.001,0.049,0.072,-0.024,0.001,-0.007
,0.001,-0.007,0.003,0.017,0.017,0.02,-0.004,-0.002,0.146,-0.006,-0.123,0.019,0.001,0.055,0.056,-0.025,0.001,-0.007
,-0.001,-0.008,-0.001,0.038,0.019,0.02,-0.001,-0.003,0.14,-0.006,-0.1,0.015,0.002,0.056,0.033,-0.024,0.002,-0.007
,-0.001,-0.008,-0.006,0.057,0.018,0.017,0,-0.004,0.149,-0.004,-0.092,0.01,0.003,0.055,0.006,-0.022,0.003,-0.005
,0,-0.007,-0.01,0.071,0.016,0.014,0.001,-0.004,0.165,-0.003,-0.106,0.005,0.005,0.056,-0.023,-0.019,0.005,-0.003
,0.001,-0.005,-0.012,0.082,0.012,0.01,0.001,-0.005,0.175,-0.002,-0.126,-0.001,0.006,0.062,-0.051,-0.017,0.006,-0.001
,0.003,-0.003,-0.013,0.091,0.007,0.007,0.003,-0.006,0.176,-0.003,-0.124,-0.005,0.006,0.075,-0.078,-0.016,0.006,0
,0.005,-0.001,-0.012,0.098,0.004,0.005,0.007,-0.007,0.169,-0.004,-0.077,-0.008,0.006,0.091,-0.103,-0.015,0.006,0
,0.006,0.001,-0.01,0.099,0.002,0.004,0.014,-0.006,0.161,-0.006,0.013,-0.01,0.008,0.104,-0.125,-0.011,0.008,-0.001
,0.008,0.002,-0.007,0.092,0.002,0.004,0.023,-0.004,0.155,-0.006,0.121,-0.012,0.012,0.11,-0.145,-0.005,0.012,-0.001
,0.01,0.003,-0.004,0.075,0.003,0.005,0.034,-0.001,0.149,-0.004,0.209,-0.014,0.015,0.108,-0.16,0.001,0.015,0
,0.012,0.004,-0.002,0.051,0.005,0.006,0.043,0.002,0.142,-0.002,0.251,-0.017,0.017,0.1,-0.17,0.006,0.017,0.001
,0.012,0.004,-0.002,0.027,0.008,0.007,0.051,0.003,0.133,-0.001,0.242,-0.02,0.017,0.09,-0.171,0.007,0.017,0.002
,0.011,0.005,-0.004,0.006,0.01,0.008,0.055,0.003,0.124,-0.001,0.2,-0.021,0.014,0.082,-0.165,0.007,0.014,0.001
,0.009,0.005,-0.009,-0.008,0.01,0.008,0.055,0.002,0.114,-0.003,0.154,-0.021,0.011,0.074,-0.152,0.006,0.011,0
,0.006,0.004,-0.014,-0.016,0.009,0.007,0.051,0.002,0.105,-0.004,0.131,-0.02,0.008,0.064,-0.14,0.006,0.008,-0.001
,0.006,0.002,-0.017,-0.023,0.006,0.006,0.044,0.003,0.096,-0.004,0.137,-0.018,0.006,0.048,-0.134,0.009,0.006,0
,0.007,0.001,-0.017,-0.03,0.002,0.006,0.034,0.005,0.088,-0.003,0.153,-0.016,0.004,0.026,-0.141,0.012,0.004,0.003
,0.01,0,-0.015,-0.038,-0.002,0.006,0.026,0.006,0.083,-0.001,0.145,-0.014,0.004,0,-0.16,0.014,0.004,0.007
,0.013,0,-0.011,-0.043,-0.004,0.004,0.019,0.006,0.083,0.001,0.08,-0.014,0.004,-0.028,-0.186,0.015,0.004,0.01
,0.014,0.002,-0.008,-0.044,-0.007,0.001,0.016,0.005,0.086,0.003,-0.046,-0.014,0.005,-0.056,-0.206,0.015,0.005,0.009
,0.012,0.003,-0.007,-0.04,-0.01,-0.002,0.015,0.005,0.09,0.005,-0.203,-0.013,0.008,-0.083,-0.212,0.014,0.008,0.006
,0.008,0.004,-0.007,-0.037,-0.015,-0.006,0.015,0.006,0.092,0.007,-0.339,-0.01,0.011,-0.108,-0.196,0.013,0.011,0.002
,0.003,0.004,-0.007,-0.038,-0.02,-0.009,0.016,0.007,0.088,0.009,-0.414,-0.007,0.012,-0.127,-0.157,0.014,0.012,-0.001
,-0.001,0.004,-0.005,-0.046,-0.023,-0.014,0.018,0.008,0.078,0.01,-0.42,-0.004,0.012,-0.14,-0.103,0.017,0.012,-0.001
,-0.004,0.003,-0.001,-0.06,-0.022,-0.019,0.019,0.007,0.063,0.011,-0.383,-0.002,0.008,-0.149,-0.049,0.02,0.008,0.001
,-0.005,0.002,0.006,-0.076,-0.017,-0.023,0.022,0.004,0.046,0.011,-0.341,-0.001,0.003,-0.154,-0.007,0.022,0.003,0.004
,-0.006,0.002,0.014,-0.087,-0.009,-0.025,0.027,0,0.029,0.01,-0.31,0.001,-0.003,-0.156,0.02,0.022,-0.003,0.006
,-0.005,0.003,0.02,-0.091,-0.002,-0.024,0.032,-0.002,0.018,0.009,-0.28,0.004,-0.007,-0.154,0.036,0.019,-0.007,0.007
,-0.003,0.005,0.023,-0.086,0.001,-0.021,0.036,-0.001,0.014,0.007,-0.23,0.008,-0.009,-0.145,0.053,0.012,-0.009,0.006
,0,0.007,0.021,-0.074,-0.001,-0.017,0.04,-0.001,0.017,0.005,-0.155,0.012,-0.01,-0.13,0.083,0.005,-0.01,0.003
,0.003,0.008,0.017,-0.058,-0.006,-0.014,0.043,-0.001,0.022,0.002,-0.072,0.016,-0.009,-0.113,0.128,-0.003,-0.009,0.001
,0.006,0.008,0.012,-0.04,-0.013,-0.015,0.046,-0.003,0.021,0,-0.015,0.018,-0.007,-0.1,0.179,-0.01,-0.007,-0.002
,0.008,0.007,0.01,-0.025,-0.017,-0.017,0.05,-0.005,0.009,-0.003,-0.002,0.019,-0.006,-0.095,0.223,-0.015,-0.006,-0.003
,0.01,0.006,0.01,-0.014,-0.016,-0.019,0.053,-0.006,-0.013,-0.004,-0.02,0.019,-0.005,-0.098,0.249,-0.019,-0.005,-0.003
,0.012,0.004,0.011,-0.006,-0.012,-0.02,0.053,-0.005,-0.038,-0.004,-0.035,0.019,-0.006,-0.104,0.256,-0.022,-0.006,-0.004
,0.012,0.003,0.012,0,-0.006,-0.018,0.046,-0.002,-0.057,-0.002,-0.018,0.019,-0.009,-0.106,0.25,-0.024,-0.009,-0.004
,0.012,0.001,0.01,0.006,-0.003,-0.014,0.029,0,-0.066,0,0.04,0.018,-0.014,-0.097,0.242,-0.024,-0.014,-0.005
,0.013,0,0.006,0.014,-0.004,-0.009,0.002,0,-0.065,0.001,0.117,0.018,-0.021,-0.076,0.238,-0.024,-0.021,-0.006
,0.015,-0.001,0.001,0.022,-0.011,-0.005,-0.029,-0.001,-0.06,0,0.178,0.018,-0.026,-0.044,0.238,-0.023,-0.026,-0.007
,0.02,-0.002,-0.003,0.028,-0.021,-0.005,-0.057,-0.004,-0.057,-0.002,0.203,0.017,-0.027,-0.005,0.238,-0.02,-0.027,-0.007
,0.025,-0.004,-0.004,0.029,-0.032,-0.009,-0.075,-0.005,-0.057,-0.005,0.19,0.016,-0.023,0.035,0.232,-0.017,-0.023,-0.006
,0.031,-0.007,-0.004,0.027,-0.042,-0.015,-0.079,-0.005,-0.058,-0.008,0.159,0.014,-0.017,0.067,0.221,-0.014,-0.017,-0.003
,0.034,-0.01,-0.003,0.023,-0.049,-0.021,-0.069,-0.003,-0.057,-0.008,0.133,0.01,-0.012,0.088,0.206,-0.011,-0.012,0.001
,0.036,-0.012,-0.002,0.022,-0.054,-0.023,-0.053,0,-0.054,-0.008,0.125,0.007,-0.01,0.096,0.186,-0.009,-0.01,0.004
,0.036,-0.01,-0.003,0.025,-0.056,-0.022,-0.034,0.002,-0.05,-0.008,0.135,0.003,-0.012,0.097,0.161,-0.008,-0.012,0.005
,0.037,-0.005,-0.004,0.031,-0.053,-0.02,-0.019,0.003,-0.05,-0.008,0.151,0,-0.017,0.099,0.125,-0.009,-0.017,0.005
,0.038,0.001,-0.005,0.04,-0.045,-0.019,-0.007,0.003,-0.056,-0.007,0.162,-0.002,-0.02,0.106,0.078,-0.011,-0.02,0.003
,0.04,0.006,-0.006,0.047,-0.031,-0.021,0.002,0.002,-0.064,-0.007,0.164,-0.004,-0.022,0.114,0.022,-0.014,-0.022,0.001
,0.041,0.008,-0.006,0.052,-0.014,-0.025,0.011,0.001,-0.07,-0.006,0.158,-0.005,-0.022,0.118,-0.037,-0.016,-0.022,0
,0.039,0.007,-0.007,0.053,0,-0.031,0.017,0.001,-0.071,-0.005,0.151,-0.008,-0.021,0.113,-0.093,-0.016,-0.021,-0.001
,0.035,0.005,-0.008,0.052,0.009,-0.036,0.016,0.001,-0.065,-0.005,0.148,-0.011,-0.019,0.101,-0.143,-0.012,-0.019,-0.001
,0.03,0.002,-0.01,0.048,0.011,-0.039,-0.003,0.002,-0.057,-0.007,0.149,-0.016,-0.018,0.088,-0.184,-0.006,-0.018,-0.001
,0.024,0.001,-0.012,0.042,0.007,-0.041,-0.048,0.003,-0.05,-0.01,0.151,-0.021,-0.019,0.079,-0.215,0.001,-0.019,0
,0.018,0,-0.014,0.037,0.001,-0.042,-0.122,0.003,-0.047,-0.012,0.15,-0.024,-0.02,0.077,-0.234,0.006,-0.02,0.002
,0.012,-0.001,-0.014,0.032,-0.004,-0.042,-0.216,0.004,-0.046,-0.012,0.143,-0.025,-0.023,0.078,-0.24,0.01,-0.023,0.005
,0.005,-0.003,-0.013,0.028,-0.006,-0.041,-0.309,0.004,-0.044,-0.009,0.13,-0.023,-0.025,0.076,-0.235,0.011,-0.025,0.008
,-0.003,-0.006,-0.012,0.025,-0.004,-0.037,-0.371,0.003,-0.042,-0.004,0.112,-0.019,-0.026,0.067,-0.225,0.01,-0.026,0.01
,-0.012,-0.008,-0.012,0.022,0.002,-0.032,-0.38,0.002,-0.037,0.002,0.094,-0.015,-0.025,0.054,-0.217,0.01,-0.025,0.01
,-0.02,-0.007,-0.013,0.019,0.012,-0.025,-0.332,0.001,-0.033,0.006,0.082,-0.012,-0.022,0.041,-0.218,0.01,-0.022,0.009
,-0.024,-0.005,-0.013,0.015,0.025,-0.015,-0.24,0.001,-0.03,0.009,0.077,-0.011,-0.019,0.033,-0.226,0.013,-0.019,0.006
,-0.025,-0.001,-0.011,0.01,0.041,-0.005,-0.133,0,-0.027,0.008,0.08,-0.011,-0.018,0.031,-0.235,0.017,-0.018,0.005
,-0.024,0.001,-0.007,0.004,0.06,0.004,-0.033,-0.001,-0.025,0.007,0.084,-0.011,-0.02,0.034,-0.237,0.021,-0.02,0.006
,-0.026,0.001,-0.002,0,0.081,0.01,0.047,-0.002,-0.022,0.005,0.086,-0.01,-0.022,0.035,-0.225,0.023,-0.022,0.007
,-0.033,-0.001,0.004,-0.002,0.101,0.012,0.11,-0.002,-0.017,0.005,0.08,-0.007,-0.025,0.031,-0.202,0.023,-0.025,0.008
,-0.045,-0.002,0.008,-0.003,0.117,0.012,0.165,-0.002,-0.013,0.006,0.068,-0.004,-0.025,0.023,-0.17,0.02,-0.025,0.007
,-0.058,-0.001,0.01,-0.003,0.124,0.011,0.217,0,-0.01,0.008,0.052,-0.001,-0.025,0.014,-0.134,0.018,-0.025,0.004
,-0.067,0.002,0.01,-0.002,0.119,0.011,0.263,0.001,-0.009,0.01,0.035,0,-0.023,0.008,-0.095,0.016,-0.023,0
,-0.07,0.007,0.01,-0.003,0.103,0.014,0.295,0.001,-0.009,0.01,0.021,0.001,-0.021,0.008,-0.056,0.015,-0.021,-0.004
,-0.066,0.011,0.011,-0.005,0.078,0.02,0.309,0,-0.009,0.007,0.011,0.003,-0.018,0.013,-0.016,0.014,-0.018,-0.005
