id,N_peaks,env_peak1_pos,env_peak2_pos,env_peak3_pos,env_peak1_val,env_peak2_val,env_peak3_val,peak1_pos,peak2_pos,peak3_pos,peak1_val,peak2_val,peak3_val,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,third_major_ratio,third_second_ratio,n_peaks_duration_rateo,class
6,2,0.47568,0.2855,,0.22253,0.019152,,0.47224,0.27961,,0.285,0.024,,0.19066,0.038821,0.20361,0.084211,0.59209,,,10.4897,MAP_A
6,3,0.47764,0.28649,0.18624,0.17684,0.019374,0.0058177,0.47371,0.27961,0.19754,0.212,0.021,0.006,0.29189,0.090418,0.30976,0.028302,0.41701,0.028302,0.28571,10.2778,MAP_A
6,3,0.4629,0.28354,0.19853,0.050074,0.020175,0.0048381,0.46486,0.27715,0.17985,0.07,0.025,0.005,0.26486,0.057002,0.21521,0.071429,0.38689,0.071429,0.2,11.3265,MAP_A
6,3,0.44423,0.32383,0.19214,0.0482,0.033835,0.0047548,0.44226,0.32482,0.18624,0.062,0.055,0.011,0.25258,0.019656,0.077821,0.17742,0.42111,0.17742,0.2,11.8774,MAP_A
6,3,0.44619,0.32088,0.18968,0.038029,0.014022,0.0041862,0.44324,0.32432,0.17936,0.049,0.022,0.004,0.257,0.032432,0.1262,0.081633,0.40466,0.081633,0.18182,11.673,MAP_A
6,2,0.47027,0.32039,,0.066668,0.017789,,0.47076,0.31695,,0.091,0.031,,0.15037,0.014742,0.098039,0.34066,0.67328,,,13.3007,MAP_A
6,3,0.46536,0.31941,0.21572,0.054889,0.034608,0.0048066,0.46732,0.31794,0.1941,0.076,0.053,0.009,0.25012,0.029484,0.11788,0.11842,0.41535,0.11842,0.16981,11.9941,MAP_A
6,3,0.32236,0.46486,0.19705,0.054419,0.045213,0.0048098,0.3199,0.46978,0.17936,0.083,0.058,0.009,0.2683,0.028501,0.10623,0.15517,0.3818,0.10843,0.15517,11.1813,MAP_A
6,3,0.46732,0.32531,0.24914,0.04639,0.037402,0.0051245,0.47174,0.32482,0.25553,0.065,0.058,0.009,0.21867,0.009828,0.044944,0.13846,0.54167,0.13846,0.15517,13.7191,MAP_A
6,3,0.46683,0.31794,0.23587,0.046123,0.022372,0.0054111,0.47125,0.32088,0.1769,0.062,0.036,0.009,0.23145,0.025553,0.1104,0.14516,0.37539,0.14516,0.25,12.9618,MAP_A
6,2,0.32285,0.46585,,0.054757,0.043408,,0.32088,0.47174,,0.083,0.059,,0.14349,0.0068796,0.047945,1.4068,0.68021,,,13.9384,MAP_A
6,3,0.32432,0.44521,0.17248,0.075533,0.044958,0.0048245,0.32138,0.44816,0.19312,0.115,0.06,0.007,0.27322,0.032924,0.1205,0.11667,0.43092,0.06087,0.11667,10.9802,MAP_A
6,2,0.32776,0.46486,,0.083335,0.044208,,0.32285,0.47076,,0.119,0.058,,0.13759,0.0088452,0.064286,2.0517,0.6858,,,14.5357,MAP_A
6,2,0.32383,0.46339,,0.10268,0.03834,,0.3199,0.46634,,0.167,0.043,,0.14005,0.004914,0.035088,3.8837,0.68599,,,14.2807,MAP_A
6,3,0.3258,0.45455,0.20983,0.11413,0.032651,0.0066905,0.32187,0.45061,0.20786,0.19,0.043,0.013,0.24521,0.03145,0.12826,0.30233,0.46129,0.068421,0.30233,12.2345,MAP_A
6,3,0.32629,0.45602,0.2059,0.049344,0.025881,0.0050839,0.32236,0.45012,0.21229,0.083,0.035,0.01,0.25061,0.026536,0.10588,0.28571,0.47162,0.12048,0.28571,11.9706,MAP_A
6,3,0.32482,0.46388,0.40197,0.082971,0.035633,0.012681,0.32088,0.46978,0.39017,0.131,0.039,0.01,0.13956,0.0088452,0.06338,3.359,0.68305,0.076336,0.25641,21.4965,MAP_A
6,2,0.31892,0.45553,,0.11168,0.030863,,0.32334,0.45111,,0.198,0.042,,0.1371,0.0078624,0.057348,4.7143,0.71678,,,14.5878,MAP_A
6,2,0.31892,0.45504,,0.082608,0.029093,,0.32285,0.45061,,0.144,0.036,,0.13661,0.0068796,0.05036,4,0.71647,,,14.6403,MAP_A
6,3,0.46634,0.32334,0.17199,0.043421,0.01932,0.0049594,0.47125,0.31695,0.18624,0.07,0.024,0.007,0.29484,0.033415,0.11333,0.1,0.3952,0.1,0.29167,10.175,MAP_A
6,3,0.32531,0.46388,0.20344,0.080015,0.029739,0.005993,0.32187,0.48845,0.18821,0.121,0.04,0.009,0.26093,0.019165,0.073446,0.225,0.38531,0.07438,0.225,11.4972,MAP_A
6,3,0.32432,0.46536,0.19853,0.046389,0.039955,0.0041627,0.32187,0.47174,0.19656,0.076,0.051,0.007,0.26732,0.015233,0.056985,0.13725,0.41667,0.092105,0.13725,11.2224,MAP_A
6,3,0.46241,0.32236,0.20147,0.027275,0.025029,0.0037972,0.4683,0.32088,0.19558,0.039,0.032,0.007,0.26143,0.0088452,0.033835,0.17949,0.41763,0.17949,0.21875,11.4756,MAP_A
6,2,0.3145,0.48894,,0.080228,0.040562,,0.31941,0.48796,,0.117,0.053,,0.17494,0.010811,0.061798,2.2075,0.65458,,,11.4326,MAP_A
