id,active_areas_number,Dominant_peak,Dominant_peak_time,Subdominant_peak,Subdominant_peak_time,Minor_peak,Minor_peak_time,Dominant_peak_env,Dominant_peak_env_time,Subdominant_peak_env,Subdominant_peak_env_time,Minor_peak_env,Minor_peak_env_time,First_peak,First_peak_time,Second_peak,Second_peak_time,Third_peak,Third_peak_time,First_peak_env,First_peak_env_time,Second_peak_env,Second_peak_env_time,Third_peak_env,Third_peak_env_time,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,minor_to_dominant_ratio,minor_to_subdominant_ratio,n_active_areas_on_duration_ratio,cross_peak_TM1,cross_peak_time_TM1,cross_energy_TM1,cross_peak_TM2,cross_peak_time_TM2,cross_energy_TM2,Dominant_AvgPowLF,Dominant_AvgPowMF,Dominant_AvgPowHF,Subdominant_AvgPowLF,Subdominant_AvgPowMF,Subdominant_AvgPowHF,Minor_AvgPowLF,Minor_AvgPowMF,Minor_AvgPowHF,First_AvgPowLF,First_AvgPowMF,First_AvgPowHF,Second_AvgPowLF,Second_AvgPowMF,Second_AvgPowHF,Third_AvgPowLF,Third_AvgPowMF,Third_AvgPowHF,First_max_Power_HF,First_max_Power_MF,First_max_Power_LF,Second_max_Power_HF,Second_max_Power_MF,Second_max_Power_LF,Third_max_Power_HF,Third_max_Power_MF,Third_max_Power_LF,First_min_Power_HF,First_min_Power_MF,First_min_Power_LF,Second_min_Power_HF,Second_min_Power_MF,Second_min_Power_LF,Third_min_Power_HF,Third_min_Power_MF,Third_min_Power_LF,First_Power_std_HF,First_Power_std_MF,First_Power_std_LF,Second_Power_std_HF,Second_Power_std_MF,Second_Power_std_LF,Third_Power_std_HF,Third_Power_std_MF,Third_Power_std_LF,Fragmentation,App,class
1,2,0.529,0.50663,0.098,0.34054,,,0.40286,0.51155,0.062175,0.33661,,,0.098,0.34054,0.529,0.50663,,,0.062175,0.33661,0.40286,0.51155,,,0.33268,0.050614,0.15214,0.11364,1.3571,0.11342,0.61224,6.0118,0.16401,0.52826,0.00075125,0.089515,0.53759,0.00032636,0.00012528,1.0519e-05,,4.9328e-05,8.9803e-07,,8.6178e-07,3.8276e-08,,1.0519e-05,0.00012528,,8.9803e-07,4.9328e-05,,3.8276e-08,8.6178e-07,,5.5998e-05,0.0008055,,2.6921e-05,0.00045959,,2.4727e-07,7.5467e-05,,6.1697e-10,5.9472e-09,,1.5733e-12,1.4512e-08,,2.4772e-11,6.1032e-10,,1.4426e-05,0.00022511,,3.0976e-06,0.00012703,,4.2287e-08,5.5021e-06,,16,-0.001,Indifferent
1,2,0.486,0.51253,0.053,0.32334,,,0.36862,0.51155,0.032735,0.32629,,,0.053,0.32334,0.486,0.51253,,,0.032735,0.32629,0.36862,0.51155,,,0.36757,0.058477,0.15909,0.080247,1.1006,0.080247,0.73585,5.4412,0.18029,0.52826,0.000833,0.098097,0.53808,0.00035809,0.00010505,2.6035e-06,,3.9984e-05,3.1718e-07,,7.4069e-07,3.0957e-08,,2.6035e-06,0.00010505,,3.1718e-07,3.9984e-05,,3.0957e-08,7.4069e-07,,1.4511e-05,0.00065845,,4.2161e-06,0.00037693,,3.9679e-07,6.6691e-05,,3.9282e-10,1.7144e-08,,4.9822e-09,1.1722e-09,,2.7793e-11,1.0597e-10,,4.1664e-06,0.000187,,4.5401e-07,0.00010201,,4.4714e-08,4.8559e-06,,14,0.006,Indifferent
1,2,0.56,0.51155,0.043,0.34054,,,0.42223,0.51057,0.028174,0.33661,,,0.043,0.34054,0.56,0.51155,,,0.028174,0.33661,0.42223,0.51057,,,0.32432,0.049631,0.15303,0.076786,1.2437,0.076786,1,6.1667,0.12898,0.52875,0.00044648,0.068197,0.53808,0.00020524,0.00016293,1.683e-06,,4.3608e-05,2.8219e-07,,1.0584e-06,2.9532e-08,,1.683e-06,0.00016293,,2.8219e-07,4.3608e-05,,2.9532e-08,1.0584e-06,,1.21e-05,0.0013436,,1.6666e-06,0.00077585,,2.7824e-07,7.4579e-05,,7.5935e-10,3.0107e-10,,2.7028e-10,2.1841e-10,,2.1546e-11,1.5194e-11,,2.6408e-06,0.00033767,,2.6466e-07,0.00012088,,4.2898e-08,5.7011e-06,,8,0.037,Indifferent
1,2,0.529,0.51302,0.076,0.34201,,,0.40643,0.51155,0.048475,0.33808,,,0.076,0.34201,0.529,0.51302,,,0.048475,0.33808,0.40643,0.51155,,,0.33366,0.051597,0.15464,0.096408,0.65169,0.096408,0.67105,5.9941,0.15849,0.52875,0.00067119,0.086933,0.53808,0.00030703,0.00012332,7.2453e-06,,3.3699e-05,4.3077e-07,,8.2573e-07,2.1074e-08,,7.2453e-06,0.00012332,,4.3077e-07,3.3699e-05,,2.1074e-08,8.2573e-07,,3.0239e-05,0.00087153,,5.2198e-06,0.00041763,,1.3617e-07,7.6925e-05,,3.9949e-09,4.913e-10,,2.381e-09,1.4823e-10,,4.849e-14,7.109e-11,,8.9631e-06,0.00024395,,6.8469e-07,8.9876e-05,,2.5826e-08,5.4852e-06,,18,0.006,Indifferent
1,2,0.516,0.50663,0.095,0.34054,,,0.39639,0.51155,0.053837,0.33612,,,0.095,0.34054,0.516,0.50663,,,0.053837,0.33612,0.39639,0.51155,,,0.32629,0.056511,0.17319,0.095331,1.3006,0.094961,0.51579,6.1295,0.16354,0.52826,0.00069811,0.089797,0.53808,0.00031197,0.00012793,7.6694e-06,,4.0355e-05,7.8952e-07,,1.001e-06,2.9097e-08,,7.6694e-06,0.00012793,,7.8952e-07,4.0355e-05,,2.9097e-08,1.001e-06,,4.1275e-05,0.00076342,,1.8753e-05,0.00037486,,4.0483e-07,8.4968e-05,,6.9497e-11,2.6866e-11,,1.7282e-09,1.557e-10,,2.6976e-10,1.0789e-10,,1.0204e-05,0.00023078,,2.1721e-06,9.9504e-05,,3.9511e-08,6.4577e-06,,17,-0.002,Indifferent
1,2,0.53,0.51302,0.098,0.34005,,,0.39831,0.51155,0.0601,0.33563,,,0.098,0.34005,0.53,0.51302,,,0.0601,0.33563,0.39831,0.51155,,,0.33464,0.024079,0.071953,0.11698,1.0491,0.11698,0.63265,5.9765,0.16772,0.52826,0.00074615,0.091659,0.53759,0.00032745,9.1856e-05,7.8499e-06,,3.7756e-05,1.2304e-06,,7.0525e-07,3.2303e-08,,7.8499e-06,9.1856e-05,,1.2304e-06,3.7756e-05,,3.2303e-08,7.0525e-07,,5.0348e-05,0.00081384,,3.2161e-05,0.0004452,,6.0451e-07,7.6676e-05,,1.7412e-09,1.5525e-09,,4.5106e-10,3.3275e-09,,3.9968e-11,2.7294e-11,,1.2366e-05,0.00019629,,4.0764e-06,0.00011081,,5.4264e-08,5.082e-06,,15,0.014,Indifferent
1,2,0.461,0.51204,0.049,0.29435,,,0.33595,0.51106,0.031885,0.29582,,,0.049,0.29435,0.461,0.51204,,,0.031885,0.29582,0.33595,0.51106,,,0.34693,0.043243,0.12465,0.10629,0.60684,0.10629,1,5.7649,0.16359,0.52826,0.00069661,0.088361,0.53759,0.00030613,7.2588e-05,3.2314e-06,,2.1108e-05,3.8348e-07,,4.8131e-07,3.9693e-08,,3.2314e-06,7.2588e-05,,3.8348e-07,2.1108e-05,,3.9693e-08,4.8131e-07,,1.5161e-05,0.00060802,,4.3864e-06,0.00035317,,2.8533e-07,4.6471e-05,,5.56e-09,1.0333e-10,,1.9914e-09,4.8491e-09,,1.9471e-11,1.1938e-10,,4.529e-06,0.00015711,,6.0358e-07,6.2391e-05,,4.7915e-08,3.1173e-06,,19,0.052,Indifferent
1,3,0.635,0.51106,0.107,0.60049,0.045,0.34103,0.44572,0.50958,0.044574,0.60049,0.026837,0.33857,0.045,0.34103,0.635,0.51106,0.107,0.60049,0.026837,0.33857,0.44572,0.50958,0.044574,0.60049,0.33022,0.061916,0.1875,0.070866,0.95395,0.070866,0.42056,9.0848,0.11762,0.52826,0.00038467,0.06044,0.53759,0.00017412,0.00018362,1.1778e-06,1.8962e-06,5.1626e-05,5.012e-06,2.9183e-07,1.5892e-06,2.8492e-06,3.1432e-08,1.8962e-06,0.00018362,1.1778e-06,2.9183e-07,5.1626e-05,5.012e-06,3.1432e-08,1.5892e-06,2.8492e-06,1.0239e-05,0.0016704,5.8084e-06,1.8513e-06,0.0010351,1.6043e-05,3.3553e-07,8.6873e-05,2.4483e-05,2.181e-09,3.0562e-10,3.0562e-10,6.8587e-09,4.0937e-08,1.1395e-07,1.2844e-10,9.9718e-12,9.9718e-12,2.2846e-06,0.00040881,1.4051e-06,3.6374e-07,0.00015198,6.5155e-06,5.0787e-08,7.1324e-06,5.7797e-06,19,0.1,Indifferent
1,2,1.514,0.32088,0.867,0.51057,,,0.81905,0.32482,0.61757,0.5145,,,1.514,0.32088,0.867,0.51057,,,0.81905,0.32482,0.61757,0.5145,,,0.31499,0.063882,0.20281,0.87671,1.0321,0.46499,0.812,6.3495,0.054889,0.53563,0.00021125,0.047387,0.31744,0.00013301,0.00063195,0.00033876,,0.00012146,5.5063e-05,,1.3803e-06,1.0393e-06,,0.00063195,0.00033876,,0.00012146,5.5063e-05,,1.3803e-06,1.0393e-06,,0.0034133,0.0021788,,0.0023827,0.00061356,,6.2129e-05,3.2704e-05,,3.6855e-09,5.9429e-08,,1.1603e-08,1.4626e-10,,1.4004e-10,2.2056e-10,,0.001107,0.00059566,,0.00037508,0.00012234,,5.8873e-06,3.3549e-06,,8,-0.711,Indifferent
1,2,0.351,0.51007,0.304,0.3199,,,0.24965,0.51302,0.21792,0.32482,,,0.304,0.3199,0.351,0.51007,,,0.21792,0.32482,0.24965,0.51302,,,0.32924,0.045209,0.13731,0.74522,0.94505,0.66667,0.76974,6.0746,0.11051,0.53219,0.00052904,0.066332,0.31597,0.00026747,5.7915e-05,7.2012e-05,,1.6086e-05,2.9924e-06,,5.8087e-07,8.9795e-08,,7.2012e-05,5.7915e-05,,2.9924e-06,1.6086e-05,,8.9795e-08,5.8087e-07,,0.00043383,0.00040529,,6.3419e-05,0.00032252,,1.0605e-06,1.6818e-05,,2.1247e-08,2.5302e-08,,1.0043e-08,8.6282e-10,,6.5977e-13,7.3874e-11,,0.00012295,0.00010714,,9.0479e-06,5.6137e-05,,2.1984e-07,2.2239e-06,,16,-0.037,Indifferent
