Var1,Var2,Var3
rov trace:,NaN,NaN
,-0.005,0.011
,-0.002,0.01
,0.001,0.007
,0.004,0.004
,0.006,0.002
,0.005,0.001
,0.004,0
,0.003,0
,0.001,-0.001
,0,-0.001
,-0.001,-0.001
,0,0
,0.002,0.001
,0.005,0.002
,0.007,0.002
,0.007,0.001
,0.004,-0.001
,-0.002,-0.002
,-0.007,-0.002
,-0.009,0
,-0.008,0.001
,-0.005,0.002
,-0.002,0.001
,0,-0.001
,0.001,-0.002
,0.002,-0.002
,0.003,-0.001
,0.004,0
,0.005,-0.001
,0.006,-0.002
,0.004,-0.003
,0.002,-0.004
,0,-0.003
,0,-0.002
,0,0
,0.001,0.002
,0.002,0.003
,0.002,0.004
,0,0.004
,-0.002,0.003
,-0.004,0.002
,-0.006,0.001
,-0.007,-0.001
,-0.005,-0.003
,-0.003,-0.005
,0,-0.007
,0.003,-0.007
,0.004,-0.006
,0.004,-0.004
,0.003,-0.002
,0.001,0
,0,0.001
,-0.002,0.001
,-0.003,0
,-0.003,0
,-0.003,0.001
,-0.002,0.002
,-0.001,0.002
,0,0.001
,0.001,0
,0.001,-0.001
,0.001,0.001
,0.001,0.004
,0,0.008
,0,0.009
,-0.001,0.006
,-0.001,0.002
,-0.002,-0.001
,-0.003,-0.001
,-0.004,0.003
,-0.004,0.009
,-0.003,0.013
,-0.001,0.012
,0.001,0.009
,0.001,0.004
,0.001,-0.001
,0.001,-0.003
,0.003,-0.004
,0.006,-0.004
,0.008,-0.004
,0.008,-0.005
,0.007,-0.007
,0.005,-0.008
,0.004,-0.009
,0.004,-0.008
,0.004,-0.007
,0.002,-0.006
,-0.002,-0.005
,-0.006,-0.004
,-0.009,-0.003
,-0.007,-0.003
,-0.002,-0.001
,0.004,0.002
,0.007,0.007
,0.006,0.014
,0.002,0.02
,-0.002,0.023
,-0.003,0.022
,-0.003,0.016
,-0.001,0.008
,0,0
,0,-0.005
,-0.002,-0.008
,-0.004,-0.01
,-0.005,-0.012
,-0.005,-0.015
,-0.004,-0.016
,-0.002,-0.015
,-0.002,-0.012
,-0.002,-0.007
,-0.003,-0.004
,-0.005,-0.002
,-0.006,-0.003
,-0.006,-0.004
,-0.006,-0.004
,-0.004,-0.003
,-0.002,-0.002
,-0.002,-0.006
,-0.004,-0.016
,-0.006,-0.033
,-0.008,-0.052
,-0.009,-0.064
,-0.007,-0.06
,-0.005,-0.039
,-0.004,-0.007
,-0.004,0.021
,-0.006,0.036
,-0.007,0.034
,-0.007,0.023
,-0.004,0.015
,0,0.016
,0.004,0.022
,0.006,0.027
,0.006,0.024
,0.004,0.014
,0.002,0.004
,0.002,-0.002
,0.002,0
,0.002,0.006
,0.001,0.012
,0,0.014
,0,0.013
,0,0.01
,0.002,0.009
,0.004,0.01
,0.005,0.011
,0.004,0.011
,0.003,0.009
,0.003,0.005
,0.003,0.001
,0.004,-0.002
,0.006,-0.002
,0.006,0
,0.006,0.002
,0.004,0.003
,0.003,0.001
,0.001,-0.002
,0.001,-0.004
,0.002,-0.005
,0.003,-0.003
,0.004,-0.001
,0.004,0.002
,0.002,0.001
,0,-0.002
,0,-0.006
,0.001,-0.009
,0.003,-0.009
,0.005,-0.005
,0.005,0
,0.003,0.004
,0.001,0.005
,0,0.003
,0,0
,0.002,-0.002
,0.003,-0.003
,0.002,-0.001
,-0.001,0.001
,-0.005,0.003
,-0.008,0.005
,-0.007,0.008
,-0.004,0.011
,0,0.012
,0.002,0.012
,0.002,0.008
,0,0.002
,-0.001,-0.003
,-0.001,-0.007
,0,-0.008
,0.002,-0.007
,0.004,-0.005
,0.004,-0.004
,0.002,-0.003
,0.001,-0.002
,0,-0.002
,-0.001,-0.003
,-0.001,-0.003
,0,-0.005
,0,-0.006
,0.001,-0.007
,0.002,-0.006
,0.004,-0.004
,0.004,0
,0.003,0.002
,0.001,0.003
,-0.003,0.002
,-0.007,-0.001
,-0.009,-0.003
,-0.008,-0.004
,-0.005,-0.004
,-0.002,-0.004
,0.001,-0.004
,0.002,-0.004
,0.001,-0.005
,0,-0.005
,0,-0.004
,0.001,-0.003
,0.002,-0.002
,0.002,-0.002
,0.002,-0.003
,0.001,-0.004
,0.001,-0.006
,0.001,-0.007
,0.001,-0.007
,0.001,-0.004
,0,0.001
,-0.002,0.009
,-0.002,0.018
,-0.002,0.029
,-0.001,0.04
,0,0.048
,0.002,0.049
,0.002,0.04
,0.001,0.024
,0,0.006
,-0.001,-0.007
,-0.001,-0.012
,-0.002,-0.01
,-0.004,-0.007
,-0.007,-0.006
,-0.01,-0.01
,-0.011,-0.016
,-0.011,-0.021
,-0.008,-0.022
,-0.005,-0.018
,-0.002,-0.014
,0.001,-0.01
,0.002,-0.01
,0.004,-0.012
,0.005,-0.014
,0.007,-0.014
,0.008,-0.013
,0.009,-0.011
,0.009,-0.011
,0.008,-0.012
,0.005,-0.013
,0.001,-0.013
,-0.003,-0.01
,-0.005,-0.006
,-0.005,-0.004
,-0.002,-0.003
,0.001,-0.003
,0.004,-0.002
,0.005,0
,0.004,0.004
,0.001,0.006
,-0.001,0.007
,-0.002,0.006
,0,0.004
,0.002,0.002
,0.003,0
,0.002,-0.001
,0.001,-0.001
,-0.001,0.001
,-0.001,0.003
,-0.002,0.006
,-0.001,0.008
,-0.001,0.009
,-0.001,0.008
,-0.001,0.006
,0,0.005
,0.001,0.006
,0.002,0.008
,0.001,0.01
,0,0.01
,0,0.007
,0,0.002
,0.002,-0.003
,0.005,-0.005
,0.005,-0.005
,0.004,-0.003
,0,0
,-0.003,0.001
,-0.006,0.002
,-0.007,0.002
,-0.006,0.003
,-0.005,0.003
,-0.004,0.004
,-0.002,0.004
,0.001,0.004
,0.004,0.003
,0.006,0.002
,0.007,0.001
,0.005,-0.001
,0.003,-0.002
,0.002,-0.004
,0.001,-0.006
,0.001,-0.007
,0.001,-0.007
,-0.001,-0.007
,-0.004,-0.007
,-0.007,-0.005
,-0.007,-0.003
,-0.005,0
,-0.002,0.004
,0,0.007
,0.001,0.01
,-0.001,0.014
,-0.002,0.018
,-0.002,0.023
,-0.001,0.026
,0.002,0.024
,0.003,0.016
,0.003,0.005
,0.002,-0.005
,0.001,-0.009
,0.001,-0.008
,0.002,-0.005
,0.002,-0.005
,0.001,-0.008
,0,-0.012
,-0.002,-0.016
,-0.005,-0.014
,-0.006,-0.01
,-0.006,-0.004
,-0.005,0
,-0.001,0
,0.003,-0.002
,0.006,-0.004
,0.009,-0.004
,0.009,-0.004
,0.007,-0.002
,0.003,-0.002
,-0.002,-0.003
,-0.006,-0.006
,-0.008,-0.009
,-0.008,-0.011
,-0.006,-0.011
,-0.003,-0.01
,0.001,-0.008
,0.004,-0.005
,0.004,-0.003
,0.003,0
,0,0.002
,-0.001,0.004
,0,0.006
,0.003,0.007
,0.006,0.006
,0.008,0.004
,0.006,0.002
,0.003,-0.001
,-0.001,-0.002
,-0.002,-0.001
,-0.001,0.001
,0.001,0.005
,0.002,0.008
,0.002,0.009
,-0.001,0.009
,-0.004,0.008
,-0.005,0.007
,-0.006,0.006
,-0.005,0.007
,-0.005,0.006
,-0.004,0.005
,-0.003,0.001
,-0.001,-0.002
,0,-0.004
,0.002,-0.005
,0.003,-0.003
,0.004,0
,0.004,0.001
,0.004,0.001
,0.003,0
,0.002,-0.002
,0,-0.003
,-0.001,-0.003
,-0.001,-0.002
,0,-0.002
,0.002,-0.002
,0.004,-0.003
,0.004,-0.004
