Var1,Var2,Var3
rov trace:,NaN,NaN
,0.003,-0.004
,0,-0.004
,-0.001,-0.003
,-0.001,-0.001
,0,0
,0.001,0.001
,0,0.003
,-0.002,0.004
,-0.004,0.004
,-0.005,0.002
,-0.004,0.001
,-0.002,-0.001
,0.001,0
,0.003,0.002
,0.003,0.005
,0.002,0.006
,0.001,0.005
,0,0.002
,-0.001,-0.002
,-0.003,-0.006
,-0.004,-0.007
,-0.004,-0.007
,-0.003,-0.005
,0.001,-0.003
,0.004,-0.001
,0.006,0
,0.004,0
,0,-0.001
,-0.005,-0.002
,-0.007,-0.003
,-0.007,-0.002
,-0.004,0
,-0.001,0.002
,0.002,0.003
,0.003,0.001
,0.003,-0.002
,0.003,-0.005
,0.003,-0.006
,0.003,-0.004
,0.002,-0.001
,0.001,0.001
,0,0.001
,-0.001,0
,-0.001,-0.001
,-0.002,-0.001
,-0.003,0
,-0.004,0
,-0.006,0
,-0.006,-0.002
,-0.006,-0.005
,-0.006,-0.006
,-0.005,-0.005
,-0.004,-0.001
,-0.003,0.005
,0,0.014
,0.002,0.025
,0.004,0.04
,0.004,0.056
,0.003,0.066
,0.001,0.062
,0,0.044
,0.001,0.015
,0.002,-0.013
,0.004,-0.028
,0.004,-0.029
,0.003,-0.02
,0.002,-0.011
,0.002,-0.01
,0.003,-0.017
,0.005,-0.026
,0.007,-0.031
,0.007,-0.029
,0.005,-0.024
,0.003,-0.019
,0,-0.017
,-0.003,-0.018
,-0.004,-0.019
,-0.005,-0.018
,-0.005,-0.015
,-0.005,-0.011
,-0.004,-0.007
,-0.003,-0.006
,-0.002,-0.007
,-0.002,-0.007
,-0.002,-0.007
,0,-0.006
,0.002,-0.004
,0.005,-0.002
,0.008,0
,0.009,0.002
,0.009,0.004
,0.008,0.006
,0.005,0.006
,0.002,0.007
,-0.002,0.006
,-0.005,0.006
,-0.008,0.006
,-0.009,0.005
,-0.008,0.003
,-0.006,0.001
,-0.003,0
,-0.001,0.001
,0,0.004
,0.001,0.006
,0,0.006
,-0.001,0.003
,-0.001,-0.001
,-0.001,-0.003
,0.001,-0.002
,0.004,0.002
,0.005,0.007
,0.003,0.009
,-0.001,0.006
,-0.005,0.001
,-0.006,-0.003
,-0.005,-0.006
,-0.001,-0.005
,0.003,-0.003
,0.004,-0.001
,0.002,0.001
,0.001,0.001
,0.001,0.001
,0.004,0.001
,0.008,0.003
,0.009,0.003
,0.006,0.003
,0,0
,-0.007,-0.004
,-0.011,-0.007
