Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.002,-0.007,0.001,0,0.002,0.003,-0.098,-0.002,-0.005,0.002,-0.007,-0.007,-0.002,-0.002,-0.005,0.001
,0.001,-0.005,0.003,-0.002,0.001,0.002,-0.091,-0.001,-0.005,0.005,-0.005,-0.005,-0.003,-0.003,-0.005,-0.001
,-0.001,-0.002,0.003,-0.004,-0.001,0,-0.084,-0.001,-0.004,0.006,-0.002,-0.002,-0.001,-0.001,-0.004,-0.002
,-0.003,-0.001,0.003,-0.004,-0.003,-0.001,-0.077,-0.003,-0.003,0.004,-0.001,-0.001,0.001,0.001,-0.003,-0.002
,-0.002,0,0.001,-0.002,-0.002,-0.002,-0.072,-0.004,-0.001,0.001,0,0,0.002,0.002,-0.001,-0.001
,-0.001,0,0,0.002,-0.001,-0.001,-0.067,-0.005,0.001,-0.002,0,0,0.002,0.002,0.001,0.001
,0.001,0,-0.001,0.005,0.001,0.001,-0.064,-0.004,0.003,-0.004,0,0,-0.001,-0.001,0.003,0.001
,0.003,0,-0.002,0.007,0.003,0.003,-0.061,-0.001,0.004,-0.004,0,0,-0.003,-0.003,0.004,0.001
,0.002,0.001,-0.002,0.006,0.002,0.004,-0.059,0.001,0.003,-0.003,0.001,0.001,-0.005,-0.005,0.003,0.001
,0.002,0.002,-0.003,0.004,0.002,0.003,-0.057,0.001,0.002,-0.001,0.002,0.002,-0.005,-0.005,0.002,0.002
,0.001,0.002,-0.002,0.001,0.001,0.001,-0.055,0,0.001,0.001,0.002,0.002,-0.003,-0.003,0.001,0.002
,0.001,0.002,-0.001,-0.001,0.001,-0.001,-0.051,-0.002,0,0.001,0.002,0.002,0,0,0,0.001
,0.001,0.001,0.001,0,0.001,-0.002,-0.046,-0.002,0,0,0.001,0.001,0.002,0.002,0,0.001
,0.001,0.001,0.001,0.002,0.001,-0.001,-0.041,-0.001,0.001,-0.001,0.001,0.001,0.003,0.003,0.001,0
,0,0.001,0,0.004,0,0,-0.036,0.002,0.002,-0.001,0.001,0.001,0.002,0.002,0.002,0
,-0.001,0.001,-0.001,0.006,-0.001,0.001,-0.033,0.004,0.003,-0.001,0.001,0.001,0.002,0.002,0.003,0.001
,-0.001,0,-0.003,0.004,-0.001,0.002,-0.029,0.004,0.003,0,0,0,0.001,0.001,0.003,0.001
,0,-0.001,-0.004,0.002,0,0.001,-0.026,0.003,0.002,-0.001,-0.001,-0.001,0.001,0.001,0.002,0
,0.002,-0.001,-0.003,-0.001,0.002,-0.001,-0.023,0.001,0.001,-0.002,-0.001,-0.001,0.001,0.001,0.001,-0.001
,0.005,0,-0.003,-0.003,0.005,-0.003,-0.019,0.001,0,-0.004,0,0,0.001,0.001,0,-0.004
,0.006,0.003,-0.002,-0.003,0.006,-0.003,-0.016,0.002,0,-0.005,0.003,0.003,0.001,0.001,0,-0.006
