-0.001,0.007,0.042,0,-0.001
-0.001,0.008,0.041,-0.011,-0.001
-0.001,0.008,0.041,-0.011,-0.001
-0.002,0.009,0.041,-0.011,-0.002
-0.002,0.009,0.04,-0.011,-0.002
-0.002,0.01,0.039,-0.011,-0.002
-0.002,0.01,0.039,-0.011,-0.002
-0.003,0.011,0.038,-0.011,-0.003
-0.003,0.011,0.037,-0.011,-0.003
-0.003,0.012,0.037,-0.011,-0.003
-0.003,0.012,0.036,-0.011,-0.003
-0.003,0.013,0.035,-0.012,-0.003
-0.003,0.013,0.035,-0.012,-0.003
-0.003,0.014,0.034,-0.012,-0.003
-0.003,0.014,0.033,-0.012,-0.003
-0.003,0.014,0.033,-0.012,-0.003
-0.003,0.014,0.033,-0.012,-0.003
-0.003,0.015,0.032,-0.012,-0.003
-0.003,0.014,0.032,-0.013,-0.003
-0.003,0.014,0.032,-0.013,-0.003
-0.002,0.014,0.032,-0.013,-0.002
-0.002,0.014,0.032,-0.013,-0.002
-0.002,0.014,0.032,-0.013,-0.002
-0.002,0.013,0.032,-0.013,-0.002
-0.002,0.013,0.032,-0.013,-0.002
-0.001,0.012,0.032,-0.013,-0.001
-0.001,0.012,0.032,-0.013,-0.001
-0.001,0.011,0.033,-0.013,-0.001
-0.001,0.011,0.033,-0.013,-0.001
-0.001,0.01,0.033,-0.012,-0.001
-0.001,0.01,0.033,-0.012,-0.001
-0.001,0.009,0.034,-0.012,-0.001
-0.001,0.009,0.034,-0.012,-0.001
-0.001,0.008,0.034,-0.011,-0.001
-0.001,0.008,0.035,-0.011,-0.001
-0.001,0.008,0.035,-0.01,-0.001
-0.001,0.007,0.035,-0.01,-0.001
-0.002,0.007,0.035,-0.009,-0.002
-0.002,0.007,0.035,-0.009,-0.002
-0.002,0.006,0.036,-0.008,-0.002
-0.002,0.006,0.036,-0.008,-0.002
-0.003,0.006,0.036,-0.007,-0.003
-0.003,0.006,0.036,-0.007,-0.003
-0.003,0.006,0.036,-0.006,-0.003
-0.004,0.006,0.036,-0.006,-0.004
-0.004,0.006,0.036,-0.005,-0.004
-0.004,0.005,0.036,-0.005,-0.004
-0.004,0.005,0.036,-0.004,-0.004
-0.005,0.005,0.035,-0.004,-0.005
-0.005,0.005,0.035,-0.004,-0.005
-0.005,0.005,0.035,-0.004,-0.005
-0.005,0.005,0.035,-0.004,-0.005
-0.005,0.005,0.035,-0.004,-0.005
-0.005,0.005,0.035,-0.004,-0.005
-0.006,0.005,0.035,-0.004,-0.006
-0.006,0.005,0.035,-0.004,-0.006
