-0.012,0,0.002,-0.003,0.002,-0.003,0,0,0,0.001,0,0,0,0,0.004,0,0,-0.007,0.002,0,-0.008,-0.005,0,0,0.002,0.001,0,0.005,0,0.005,0,0.01,0.005,0.004,0,-0.011,0.004,-0.003,0,0,0,0,0,0,0.002,0,-0.005,0,0,0,0,-0.001,0,0,0,0,0,0.001,0,0.013,0.002,0,0,0,0,0,0.006,0,0,0,-0.003,0,0.005,0,0,0.006,0,0,0,0,0.005,0.005,0,0,-0.007,0.017,0.017,0,0,0.003,0.001,0.006,-0.005,0.001,-0.002,-0.006,0.002,0,0,-0.002,0,0.004,0,0.001,-0.005,0.003,-0.002,-0.002,0,-0.005,0,0.004,0,0,-0.001,0.004,0,0.001,0,0.004,-0.004,0,0.001,0,0,0.045,0.004,-0.02,-0.003,0,0.035,-0.004,0.039,0,-0.046,0,-0.043,0,-0.008,0,0,0,0,-0.002,0.067,0,0.265,0,-0.002,0,0,-0.004,0,-0.006,0.002,0,0.002,0.003,-0.001,0,0,0,0,-0.001,0,0,0,0.002,0,0.003,0.002,-0.003,-0.003,-0.007,-0.001,0
-0.011,-0.051,0.005,-0.001,0.001,-0.002,-0.001,-0.002,0.003,0,-0.017,0,-0.004,-0.004,0.006,-0.002,0.005,-0.006,0.002,-0.001,-0.01,-0.006,-0.002,-0.006,0.003,0.001,0.003,0.004,-0.003,0.005,0.002,0.01,0.004,0.003,0,-0.012,0.002,-0.004,-0.001,0.004,-0.003,-0.002,-0.006,0.001,0.002,0,-0.005,0.003,-0.002,0,-0.005,-0.003,-0.002,-0.003,0,0,0,0.003,-0.008,0.017,0.004,0.003,-0.002,0.003,0.001,0.002,0.004,0,-0.008,-0.003,-0.002,-0.008,0.005,-0.001,-0.005,0.007,0,-0.001,0.001,0.004,0.007,0.003,-0.004,-0.001,-0.006,0.025,0.025,0.002,-0.005,0,0.003,0.004,-0.001,0.002,-0.003,-0.005,0.003,-0.001,-0.004,0.001,-0.002,0.006,0.005,0.002,-0.006,0.004,-0.003,-0.001,-0.018,-0.004,-0.001,0.002,-0.004,0,0.001,0.004,0.001,0.002,0.004,0.005,-0.001,0,0,0.001,0,0.026,0.004,-0.025,-0.001,-0.003,0.029,-0.003,0.033,0.005,-0.043,0,-0.041,-0.007,-0.008,-0.002,-0.004,0.007,-0.013,0,0.095,-0.018,0.232,-0.017,-0.002,-0.007,0.004,-0.001,0,-0.005,0,-0.004,0.002,0.006,-0.001,0.002,0.017,-0.001,0.002,-0.001,0.003,-0.002,-0.001,0.003,0.001,0.002,0.003,-0.002,-0.003,-0.006,0.003,0.002
-0.007,-0.054,0.007,0,0.001,-0.001,-0.001,-0.001,0.001,0,-0.017,0.001,-0.005,-0.005,0.008,-0.003,0.007,-0.005,0.002,-0.002,-0.009,-0.008,-0.003,-0.005,0.003,0,0.005,0.003,-0.001,0.005,0.002,0.007,0.001,0.003,-0.003,-0.012,-0.002,-0.003,-0.002,0.005,-0.002,-0.004,-0.006,0.001,0,0.001,-0.004,0.005,-0.001,-0.003,-0.004,-0.004,-0.007,-0.002,0,-0.001,0.002,0.004,-0.01,0.017,0.005,0,0,0.003,0.004,0.002,0.004,0,-0.005,-0.002,-0.001,-0.006,0.004,0.001,-0.005,0.007,-0.001,0.001,0.001,0.006,0.006,0,-0.004,-0.001,-0.003,0.032,0.032,0.005,-0.003,-0.002,0.005,0.002,0.001,0.002,-0.004,-0.003,0.004,-0.002,-0.006,0.002,-0.001,0.007,0.007,0.002,-0.008,0.003,-0.003,-0.002,-0.023,-0.002,-0.002,-0.002,-0.003,0.002,0.003,0.005,0,0.003,0.005,0.004,0.002,-0.002,-0.001,-0.001,-0.005,0.007,0.003,-0.032,0.002,0,0.025,-0.003,0.027,0.006,-0.04,0.002,-0.04,-0.003,-0.009,-0.002,-0.003,0.007,-0.02,0.001,0.116,-0.016,0.202,-0.017,-0.001,-0.02,0.006,0.002,0.004,-0.003,-0.001,-0.005,0.002,0.007,-0.002,0.003,0.016,-0.001,0.003,0,0.007,-0.002,-0.002,0.004,0.003,0,0.001,0,-0.002,-0.005,0.004,0.004
-0.003,-0.056,0.006,0.001,0,-0.001,0,-0.002,0.001,0.001,-0.018,0.001,-0.004,-0.005,0.008,-0.003,0.006,-0.004,0.002,-0.003,-0.006,-0.009,-0.003,-0.004,0.002,-0.002,0.003,0.001,0.001,0.006,0.001,0.002,-0.001,0.003,-0.002,-0.01,-0.004,-0.001,-0.002,0.006,0,-0.003,-0.005,0.001,-0.003,0.001,-0.001,0.007,-0.002,-0.002,-0.002,-0.005,-0.009,0,0.002,-0.001,0.002,0.004,-0.009,0.013,0.003,-0.003,0.002,0.003,0.005,0.003,0.004,0,-0.003,-0.001,-0.001,-0.005,0.002,0.004,-0.004,0.008,-0.002,0.002,-0.001,0.007,0.005,-0.004,-0.004,-0.001,0.001,0.037,0.037,0.006,0,-0.002,0.005,0.002,0.001,0.002,-0.003,-0.001,0.005,-0.004,-0.004,0.003,0.001,0.008,0.006,0.003,-0.007,0,-0.001,-0.002,-0.027,0,-0.002,-0.004,-0.002,0.003,0.004,0.005,0,0.005,0.005,0.002,0.004,-0.001,-0.001,-0.003,-0.005,-0.01,0.002,-0.039,0.004,0.001,0.02,-0.004,0.023,0.003,-0.037,0.002,-0.037,-0.001,-0.01,-0.003,0,0.005,-0.027,0,0.13,-0.015,0.176,-0.018,0,-0.035,0.006,0.005,0.003,-0.002,0,-0.005,0.002,0.007,-0.003,0.002,0.014,-0.001,0.002,0.001,0.008,-0.002,-0.003,0.004,0.006,-0.001,0,0.001,-0.002,-0.004,0.004,0.005
0,-0.056,0.003,0.001,-0.001,-0.004,0.001,-0.004,0.001,0.002,-0.018,0.001,-0.003,-0.004,0.008,-0.002,0.004,-0.005,0.001,-0.004,-0.001,-0.009,-0.003,-0.002,-0.001,-0.002,-0.001,-0.002,0.002,0.008,-0.002,-0.002,-0.002,0.003,0.001,-0.007,-0.004,0.001,-0.001,0.006,0.001,-0.002,-0.004,0.001,-0.005,0,0.001,0.007,-0.002,0.001,0,-0.007,-0.009,0.001,0.004,0,0.002,0.003,-0.006,0.006,0.002,-0.003,0.004,0.004,0.004,0.002,0.004,0,-0.003,-0.002,0,-0.005,0,0.006,-0.003,0.007,-0.002,0.002,-0.004,0.007,0.003,-0.006,-0.003,-0.001,0.004,0.036,0.036,0.006,0.002,0,0.004,0.003,-0.001,0.001,-0.001,0.001,0.005,-0.006,0,0.002,0.001,0.009,0.004,0.002,-0.005,-0.004,0.001,-0.003,-0.029,0.001,-0.001,-0.004,-0.001,0.003,0.003,0.005,0.001,0.005,0.004,0,0.005,-0.001,-0.001,-0.006,-0.003,-0.022,0,-0.044,0.005,0.002,0.013,-0.005,0.02,-0.001,-0.035,0.002,-0.035,-0.001,-0.008,-0.003,0.002,0.005,-0.031,-0.001,0.139,-0.016,0.151,-0.018,0.001,-0.05,0.005,0.006,0.001,-0.002,0.001,-0.004,0.002,0.006,-0.002,0.001,0.012,0.001,0,0.001,0.005,-0.003,-0.004,0.002,0.007,-0.002,-0.002,0.002,-0.001,-0.003,0.003,0.006
0.003,-0.053,0.001,0.001,-0.003,-0.006,0.003,-0.005,0.001,0.002,-0.018,0.001,-0.002,-0.001,0.006,0,0.001,-0.005,0.001,-0.004,0.002,-0.007,-0.002,0,-0.003,-0.002,-0.006,-0.004,0.001,0.008,-0.006,-0.005,0,0.001,0.003,-0.005,-0.002,0.002,0,0.005,0,-0.002,-0.001,0.001,-0.004,-0.003,0.004,0.006,-0.002,0.003,0.001,-0.007,-0.007,0,0.005,0.001,0.003,0.002,-0.002,0,0,-0.002,0.005,0.004,0.001,0.001,0.003,0,-0.003,-0.002,0.001,-0.004,-0.001,0.006,-0.001,0.006,-0.005,0,-0.006,0.006,0.001,-0.007,-0.002,-0.001,0.005,0.029,0.029,0.005,0.004,0.001,0.004,0.004,-0.005,0.001,0.001,0.002,0.004,-0.008,0.004,0.001,0,0.008,0.002,0.001,-0.001,-0.006,0.003,-0.002,-0.029,0.002,0,-0.002,0,0.002,0.002,0.004,0.002,0.005,0.004,0,0.004,0,0,-0.006,0,-0.028,-0.002,-0.047,0.004,0.003,0.006,-0.004,0.016,-0.003,-0.034,0.001,-0.033,-0.003,-0.004,-0.003,0.002,0.005,-0.034,-0.001,0.144,-0.014,0.127,-0.018,0.002,-0.063,0.004,0.004,0,-0.003,0.002,-0.003,0.002,0.004,-0.001,0.001,0.011,0.002,-0.001,0.001,0,-0.003,-0.004,0,0.008,-0.001,-0.003,0.002,-0.001,-0.003,0.002,0.005
0.004,-0.049,0.001,0.001,-0.004,-0.008,0.004,-0.002,0,0.001,-0.016,0.001,-0.001,0.001,0.003,0.001,-0.001,-0.005,0,-0.004,0.005,-0.004,-0.001,0.002,-0.006,0,-0.009,-0.006,-0.001,0.007,-0.007,-0.006,0.004,-0.003,0.005,-0.003,0.001,0.002,0.001,0.003,-0.002,-0.003,0.001,0.001,-0.001,-0.005,0.005,0.004,0,0.005,0.001,-0.007,-0.005,-0.002,0.004,0.001,0.005,0.002,0.002,-0.003,0,0,0.005,0.003,-0.004,0,0.001,0.001,-0.004,-0.001,0.004,-0.003,0,0.003,0,0.003,-0.008,-0.001,-0.006,0.004,0.001,-0.009,-0.001,-0.002,0.004,0.017,0.017,0.004,0.004,0.001,0.004,0.005,-0.006,0.001,0.003,0.002,0.003,-0.01,0.008,0.002,-0.001,0.005,0,-0.001,0.003,-0.006,0.003,0,-0.027,0.002,0.001,0.001,0,0.001,0,0.001,0.002,0.004,0.004,0.002,0.002,0.001,0.001,-0.004,0.003,-0.032,-0.003,-0.047,0.001,0.004,-0.002,-0.002,0.012,-0.004,-0.033,-0.001,-0.032,-0.005,0,-0.003,-0.001,0.005,-0.036,-0.001,0.146,-0.009,0.101,-0.016,0.002,-0.074,0.002,0.001,0,-0.003,0.002,-0.001,0.002,0.002,0,0,0.012,0.003,-0.001,0,-0.004,-0.003,-0.003,-0.002,0.008,0.001,-0.004,0.002,-0.001,-0.004,0.001,0.003
0.004,-0.047,0.003,0.001,-0.004,-0.009,0.003,0.003,-0.002,-0.001,-0.012,0,0,0.002,0,0.002,-0.001,-0.005,-0.001,-0.003,0.005,0.001,0,0.003,-0.007,0.001,-0.008,-0.005,-0.005,0.003,-0.006,-0.005,0.007,-0.007,0.004,-0.002,0.004,0.001,0.003,0.002,-0.004,-0.005,0.003,0,0.004,-0.006,0.005,0.001,0.003,0.004,0,-0.005,-0.003,-0.004,0.002,0,0.008,0.003,0.004,-0.002,0.002,0.002,0.005,0.003,-0.007,-0.002,-0.002,0.001,-0.004,0.001,0.006,0,0.003,-0.003,0.001,0,-0.01,-0.003,-0.005,0.002,0.001,-0.009,-0.001,-0.003,0.002,0.006,0.006,0.004,0.003,0,0.004,0.004,-0.005,0.001,0.003,0.003,0.002,-0.01,0.009,0.003,-0.002,0.002,-0.001,-0.003,0.004,-0.004,0.003,0.001,-0.025,0.002,0.003,0.004,0,-0.001,0.001,0,0.001,0.002,0.004,0.004,0.001,0.001,0.003,-0.001,0.004,-0.034,-0.002,-0.045,-0.001,0.007,-0.009,0,0.005,-0.002,-0.03,-0.003,-0.031,-0.008,0.004,-0.003,-0.004,0.004,-0.037,-0.001,0.148,0.001,0.077,-0.012,0.002,-0.082,0.001,-0.002,0.002,-0.001,0.001,-0.001,0.003,0,0.002,-0.001,0.014,0.001,0.001,0,-0.005,-0.002,-0.003,-0.002,0.006,0.002,-0.004,0,0,-0.003,0.001,0
0.003,-0.047,0.006,0.001,-0.003,-0.008,0.003,0.008,-0.004,-0.003,-0.006,-0.001,0,0.002,-0.002,0.003,0,-0.003,-0.001,-0.002,0.003,0.005,0.001,0.003,-0.006,0.002,-0.004,-0.004,-0.007,-0.001,-0.004,-0.004,0.009,-0.011,0.002,-0.003,0.004,0,0.003,0.001,-0.004,-0.008,0.004,0,0.007,-0.004,0.003,-0.001,0.005,0.002,0,-0.004,-0.001,-0.004,-0.002,-0.001,0.01,0.004,0.004,0,0.005,0.004,0.003,0.003,-0.008,-0.003,-0.003,0.001,-0.004,0.004,0.007,0.003,0.007,-0.008,0.001,-0.002,-0.011,-0.003,-0.003,0,0,-0.009,-0.001,-0.004,0.002,0.001,0.001,0.005,0.002,-0.002,0.004,0.002,-0.002,0,0.002,0.003,0.002,-0.009,0.007,0.004,0,0,0,-0.004,0.002,-0.001,0.002,0.001,-0.024,0,0.003,0.004,0,-0.002,0.002,-0.001,-0.001,0.002,0.004,0.005,0,0.001,0.003,0.002,0.005,-0.038,-0.001,-0.046,-0.003,0.008,-0.014,0.002,-0.002,0,-0.027,-0.005,-0.029,-0.012,0.004,-0.002,-0.006,0.002,-0.039,0,0.15,0.011,0.055,-0.006,0.001,-0.088,0.002,-0.004,0.003,0.001,0,-0.001,0.004,-0.001,0.002,-0.001,0.014,-0.001,0.002,-0.001,-0.003,-0.001,-0.002,-0.001,0.004,0.003,-0.005,-0.002,0.002,-0.002,0.002,-0.002
0.003,-0.046,0.008,0.002,-0.002,-0.006,0.002,0.01,-0.005,-0.003,0.001,-0.003,0.001,0.001,-0.003,0.004,0.002,-0.001,-0.002,-0.001,0.001,0.009,0.001,0.002,-0.004,0.002,0.001,-0.001,-0.007,-0.005,-0.002,-0.003,0.009,-0.012,0.001,-0.003,0.002,0,0.003,0,-0.003,-0.01,0.004,-0.001,0.007,-0.001,0.001,-0.003,0.005,0.001,0.002,-0.003,0,-0.003,-0.004,-0.002,0.01,0.005,0.004,0.001,0.006,0.005,0.002,0.003,-0.007,-0.004,-0.001,0.001,-0.003,0.006,0.006,0.006,0.01,-0.01,0.003,-0.001,-0.01,-0.003,-0.001,-0.002,-0.002,-0.006,-0.002,-0.004,0.003,0.001,0.001,0.007,0.002,-0.003,0.003,0,0.001,-0.002,0.001,0.003,0.002,-0.006,0.005,0.005,0.002,-0.002,0.001,-0.004,-0.003,0.001,0.001,0.001,-0.023,-0.002,0.003,0.002,-0.001,-0.003,0.003,0,-0.003,0.001,0.004,0.003,0,0,0.002,0.002,0.004,-0.044,0,-0.048,-0.003,0.007,-0.018,0.001,-0.009,0.001,-0.022,-0.006,-0.025,-0.016,0.003,-0.001,-0.005,-0.001,-0.041,0,0.152,0.019,0.037,0.001,0,-0.092,0.003,-0.004,0.003,0.003,-0.001,-0.001,0.005,-0.002,0.001,-0.001,0.011,-0.004,0.001,-0.002,0,0.001,-0.002,0,0.002,0.003,-0.005,-0.004,0.005,0.001,0.002,-0.002
