-0.158,-0.017,0.093,-0.004,-0.056,-0.046,-0.056,0.08,0.093,0.093,0.097
-0.156,-0.016,0.094,-0.003,-0.056,-0.047,-0.056,0.08,0.094,0.094,0.097
-0.153,-0.015,0.095,-0.003,-0.055,-0.047,-0.055,0.081,0.095,0.095,0.096
-0.151,-0.014,0.097,-0.002,-0.054,-0.047,-0.054,0.081,0.097,0.097,0.096
-0.149,-0.013,0.098,-0.001,-0.054,-0.048,-0.054,0.082,0.098,0.098,0.096
-0.146,-0.011,0.099,-0.001,-0.053,-0.048,-0.053,0.083,0.099,0.099,0.095
-0.144,-0.01,0.101,0,-0.053,-0.049,-0.053,0.083,0.101,0.101,0.095
-0.142,-0.009,0.102,0,-0.052,-0.05,-0.052,0.084,0.102,0.102,0.094
-0.14,-0.008,0.103,0.001,-0.052,-0.051,-0.052,0.085,0.103,0.103,0.094
-0.138,-0.007,0.104,0.002,-0.051,-0.052,-0.051,0.086,0.104,0.104,0.094
-0.135,-0.005,0.105,0.002,-0.051,-0.053,-0.051,0.087,0.105,0.105,0.093
-0.133,-0.004,0.106,0.003,-0.051,-0.054,-0.051,0.088,0.106,0.106,0.093
-0.131,-0.003,0.107,0.004,-0.05,-0.055,-0.05,0.089,0.107,0.107,0.093
-0.129,-0.001,0.107,0.004,-0.05,-0.056,-0.05,0.089,0.107,0.107,0.092
-0.127,0,0.107,0.005,-0.05,-0.058,-0.05,0.09,0.107,0.107,0.092
-0.126,0.001,0.108,0.006,-0.05,-0.059,-0.05,0.091,0.108,0.108,0.092
-0.124,0.003,0.108,0.007,-0.05,-0.061,-0.05,0.091,0.108,0.108,0.092
-0.122,0.004,0.108,0.008,-0.051,-0.062,-0.051,0.092,0.108,0.108,0.091
-0.12,0.005,0.107,0.009,-0.051,-0.063,-0.051,0.092,0.107,0.107,0.091
-0.118,0.007,0.107,0.01,-0.051,-0.065,-0.051,0.092,0.107,0.107,0.091
-0.117,0.008,0.107,0.012,-0.052,-0.066,-0.052,0.092,0.107,0.107,0.09
-0.115,0.01,0.106,0.013,-0.052,-0.067,-0.052,0.092,0.106,0.106,0.09
-0.113,0.011,0.105,0.014,-0.053,-0.069,-0.053,0.091,0.105,0.105,0.09
-0.111,0.013,0.105,0.016,-0.053,-0.07,-0.053,0.09,0.105,0.105,0.089
-0.11,0.014,0.104,0.017,-0.054,-0.071,-0.054,0.09,0.104,0.104,0.088
-0.108,0.016,0.103,0.019,-0.054,-0.072,-0.054,0.089,0.103,0.103,0.088
-0.106,0.017,0.103,0.02,-0.055,-0.073,-0.055,0.088,0.103,0.103,0.087
-0.104,0.018,0.102,0.022,-0.055,-0.073,-0.055,0.086,0.102,0.102,0.086
-0.102,0.02,0.101,0.023,-0.056,-0.074,-0.056,0.085,0.101,0.101,0.085
-0.1,0.021,0.1,0.025,-0.056,-0.074,-0.056,0.084,0.1,0.1,0.084
-0.098,0.023,0.1,0.027,-0.057,-0.075,-0.057,0.082,0.1,0.1,0.083
-0.096,0.024,0.099,0.028,-0.057,-0.075,-0.057,0.08,0.099,0.099,0.082
-0.094,0.026,0.099,0.03,-0.058,-0.075,-0.058,0.079,0.099,0.099,0.081
-0.092,0.027,0.098,0.031,-0.058,-0.075,-0.058,0.077,0.098,0.098,0.08
