Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0,0.008,0,0.001,0.005,0.007,-0.004,0,0.002
,0.001,0.005,0.002,0.003,0.004,0.008,-0.003,0.001,0.004
,0.003,0.001,0.004,0.004,0.003,0.007,-0.001,0.003,0.005
,0.005,-0.002,0.005,0.003,0.001,0.005,0.001,0.005,0.004
,0.005,-0.003,0.006,0.001,0.001,0.001,0.002,0.005,0.002
,0.003,-0.003,0.005,-0.001,0.001,-0.002,0.002,0.003,-0.001
,-0.001,-0.002,0.004,-0.002,0.002,-0.004,0,-0.001,-0.003
,-0.004,-0.001,0.002,-0.002,0.003,-0.005,-0.001,-0.004,-0.003
,-0.006,0,0,-0.002,0.002,-0.005,-0.001,-0.006,-0.002
,-0.005,0.001,-0.001,-0.001,0.001,-0.005,0.001,-0.005,0
,-0.002,0.001,-0.001,-0.001,0,-0.004,0.002,-0.002,0.002
,0.002,0.001,-0.001,-0.001,-0.001,-0.003,0.004,0.002,0.003
,0.004,0,0,-0.001,-0.002,-0.002,0.004,0.004,0.003
,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.003,0.005,0.002
,0.003,-0.003,0.001,0.002,-0.001,-0.001,0.001,0.003,0.001
,0.001,-0.004,0,0.002,0,-0.002,0,0.001,0
,0,-0.003,0,0.002,0,-0.003,-0.002,0,0
,0,-0.002,-0.001,0,0,-0.004,-0.002,0,0
,0.001,0,-0.002,-0.002,0,-0.004,-0.002,0.001,0
,0.001,0.001,-0.003,-0.002,-0.001,-0.003,-0.001,0.001,0.001
,0.001,0,-0.002,-0.001,-0.001,-0.002,0,0.001,0.002
,0,-0.001,-0.001,0.002,-0.001,-0.001,0.001,0,0.001
,0,-0.003,0,0.003,-0.001,0,0.001,0,-0.001
,-0.001,-0.003,0.001,0.002,-0.001,0,-0.001,-0.001,-0.003
,-0.002,-0.002,0.001,-0.001,-0.002,0.001,-0.003,-0.002,-0.004
,-0.002,0,0,-0.004,-0.002,0,-0.004,-0.002,-0.003
,0,0.001,-0.001,-0.005,-0.002,0,-0.003,0,-0.001
,0.001,0.001,-0.003,-0.004,-0.001,-0.001,-0.002,0.001,0
,0.003,0.001,-0.003,-0.001,0.001,0,0,0.003,0
,0.003,0,-0.003,0.001,0.003,0.001,0.001,0.003,-0.001
,0.002,-0.001,-0.002,0.002,0.004,0.003,0.002,0.002,-0.002
,0,-0.002,-0.002,0.002,0.002,0.003,0.001,0,-0.003
,-0.002,-0.001,-0.001,0.002,-0.001,0.003,0,-0.002,-0.002
,-0.001,0,0,0.003,-0.003,0.002,0,-0.001,0
,0.001,0.001,0.001,0.004,-0.004,0.001,0,0.001,0.001
,0.003,0.003,0.002,0.004,-0.003,0.001,0,0.003,0.002
,0.003,0.004,0.002,0.003,0,0.002,-0.001,0.003,0.002
,0.002,0.005,0.003,0.001,0.003,0.004,-0.002,0.002,0.002
,0,0.004,0.002,-0.001,0.004,0.005,-0.002,0,0.002
,-0.003,0.002,0.002,-0.001,0.001,0.006,-0.001,-0.003,0.002
,-0.005,0,0.002,0,-0.002,0.005,0,-0.005,0.001
,-0.006,-0.002,0.001,0.001,-0.005,0.003,0.002,-0.006,0
,-0.005,-0.003,-0.001,0.001,-0.006,0.001,0.003,-0.005,0
,-0.005,-0.003,-0.004,0,-0.005,-0.001,0.004,-0.005,0
,-0.004,-0.001,-0.006,-0.001,-0.004,-0.001,0.003,-0.004,0.001
,-0.003,0,-0.007,-0.001,-0.002,0,0.001,-0.003,0.002
,-0.001,0.001,-0.006,0,-0.001,0,0,-0.001,0.002
,0.001,0.001,-0.005,0.003,-0.001,0,-0.001,0.001,0.001
,0.003,-0.001,-0.002,0.005,-0.002,0,0,0.003,0
,0.004,-0.003,-0.001,0.005,-0.003,0,0.001,0.004,0
,0.006,-0.004,0,0.004,-0.004,0,0.001,0.006,0
,0.006,-0.004,0,0.002,-0.003,0,0,0.006,0.001
,0.004,-0.001,-0.001,0,-0.002,-0.001,-0.001,0.004,0.001
,0.003,0.002,-0.002,0,-0.001,-0.001,-0.001,0.003,0.002
,0.001,0.004,-0.003,0.001,0,-0.002,0,0.001,0.001
,0,0.004,-0.002,0.001,0.001,-0.003,0.003,0,0.001
,0,0.001,-0.001,0,0.003,-0.004,0.005,0,-0.001
,0.002,-0.001,0.001,-0.002,0.004,-0.004,0.005,0.002,-0.002
,0.003,-0.002,0.004,-0.004,0.004,-0.004,0.002,0.003,-0.003
,0.004,-0.001,0.005,-0.004,0.004,-0.004,-0.001,0.004,-0.003
,0.003,0,0.005,-0.003,0.002,-0.004,-0.004,0.003,-0.002
,0.003,0.002,0.004,-0.001,0,-0.005,-0.006,0.003,0
,0.002,0.002,0.002,0,0,-0.005,-0.006,0.002,0.003
,0.001,0.002,0.001,-0.001,0,-0.006,-0.004,0.001,0.004
,0,0.001,0,-0.002,0,-0.005,-0.002,0,0.003
,-0.001,0.001,0.001,-0.003,0,-0.003,-0.001,-0.001,0.001
,-0.001,0.001,0.002,-0.002,-0.002,0.001,0,-0.001,-0.002
,-0.001,0.001,0.003,0.001,-0.005,0.004,0,-0.001,-0.004
,0.001,0.001,0.002,0.004,-0.006,0.005,0,0.001,-0.005
,0.002,0.001,0,0.006,-0.006,0.004,0.001,0.002,-0.004
,0.001,0,-0.002,0.006,-0.004,0.003,0.002,0.001,-0.002
,-0.001,0,-0.005,0.004,0,0.002,0.002,-0.001,0
,-0.003,0,-0.004,0.001,0.004,0.002,0.001,-0.003,0.001
,-0.004,0,-0.002,-0.002,0.008,0.003,0,-0.004,0.002
,-0.003,-0.001,0.001,-0.004,0.009,0.004,-0.002,-0.003,0.003
,0,-0.002,0.004,-0.004,0.01,0.004,-0.002,0,0.002
,0.003,-0.005,0.004,-0.003,0.009,0.001,0,0.003,0.002
,0.005,-0.007,0.003,-0.001,0.007,-0.001,0.002,0.005,0.002
,0.005,-0.008,0.001,0,0.005,-0.003,0.003,0.005,0.001
,0.004,-0.007,-0.001,0.001,0.003,-0.003,0.002,0.004,0.001
,0.002,-0.004,-0.001,0.001,0.001,-0.001,0.001,0.002,0.001
,0,0,0,0.002,0.001,0.002,-0.001,0,0
,-0.002,0.003,0.001,0.002,0.001,0.004,-0.002,-0.002,-0.001
,-0.003,0.004,0.002,0.003,0.002,0.004,-0.003,-0.003,-0.002
,-0.005,0.004,0.002,0.003,0.003,0.003,-0.003,-0.005,-0.004
,-0.006,0.004,0.002,0.001,0.002,0.002,-0.004,-0.006,-0.005
,-0.005,0.003,0.002,-0.002,0,0.001,-0.004,-0.005,-0.005
,-0.004,0.003,0.002,-0.004,-0.001,0.002,-0.004,-0.004,-0.004
,-0.003,0.003,0.002,-0.004,-0.001,0.001,-0.002,-0.003,-0.003
,-0.001,0.003,0.002,-0.002,0,0,0.001,-0.001,-0.001
,0.001,0.002,0.002,0.001,0,-0.001,0.003,0.001,0
,0.002,0.001,0.002,0.004,0.001,-0.003,0.004,0.002,-0.001
,0.004,0,0.002,0.005,0,-0.004,0.003,0.004,-0.001
,0.004,-0.001,0.002,0.004,-0.001,-0.003,0.001,0.004,-0.002
,0.003,0,0.001,0.002,-0.002,-0.002,0,0.003,-0.002
,0.002,0,0,0,-0.003,-0.001,0,0.002,-0.001
,0.001,0.001,-0.002,-0.001,-0.004,-0.001,0.001,0.001,0.001
,0.001,0.002,-0.003,-0.001,-0.005,-0.002,0.002,0.001,0.004
,0.001,0.002,-0.003,0,-0.005,-0.004,0.002,0.001,0.006
,0.002,0.002,-0.002,0,-0.003,-0.004,0.002,0.002,0.007
,0.002,0.001,-0.001,-0.001,-0.001,-0.003,0.001,0.002,0.007
,0.001,0,-0.001,-0.002,0.001,0,0,0.001,0.005
,-0.001,-0.001,-0.002,-0.002,0.001,0.004,-0.001,-0.001,0.003
,-0.002,-0.001,-0.004,-0.002,0,0.007,-0.002,-0.002,0
,-0.003,-0.001,-0.006,-0.002,-0.002,0.008,-0.002,-0.003,-0.002
,-0.004,0,-0.006,-0.002,-0.004,0.006,-0.001,-0.004,-0.003
,-0.004,0.001,-0.004,-0.002,-0.003,0.004,0,-0.004,-0.004
,-0.004,0,-0.001,-0.002,0,0,0,-0.004,-0.004
,-0.002,0,0.001,-0.002,0.003,-0.002,0,-0.002,-0.003
,-0.001,-0.001,0.001,-0.001,0.004,-0.003,0,-0.001,-0.001
,0.001,-0.002,0,0.001,0.003,-0.003,0,0.001,0.001
,0.003,-0.004,-0.001,0.002,0,-0.002,0,0.003,0.002
,0.005,-0.005,-0.002,0.003,-0.002,-0.001,0,0.005,0.001
,0.006,-0.006,-0.002,0.003,-0.002,0,0,0.006,0.001
,0.007,-0.006,-0.002,0.002,0,0,0,0.007,0.001
,0.006,-0.004,-0.002,0.001,0.002,0,0,0.006,0.003
,0.003,-0.002,-0.002,0,0.003,0,-0.001,0.003,0.004
,0.001,0.001,-0.002,0,0.003,0,-0.001,0.001,0.003
,0,0.003,-0.001,0,0.002,0,-0.002,0,0.001
,0,0.003,0.001,0.001,0,-0.001,-0.002,0,-0.002
,0,0.002,0.004,0.001,0,-0.001,-0.001,0,-0.004
,0,0.001,0.006,0.001,0,-0.002,0,0,-0.004
,-0.001,0,0.007,0,0.001,-0.002,0.001,-0.001,-0.002
,-0.002,0.001,0.006,-0.002,0.002,0,0.001,-0.002,0
,-0.004,0.003,0.003,-0.004,0.003,0.002,0,-0.004,0.002
,-0.004,0.003,0.002,-0.005,0.003,0.004,-0.001,-0.004,0.003
,-0.002,0.002,0.002,-0.005,0.002,0.006,-0.001,-0.002,0.002
,0.001,0.001,0.003,-0.003,0,0.006,0,0.001,0.001
,0.003,-0.001,0.005,-0.001,-0.002,0.004,0.002,0.003,0.001
,0.002,-0.002,0.006,0.001,-0.003,0.001,0.004,0.002,0.001
,0,-0.001,0.005,0.001,-0.001,-0.001,0.005,0,0.001
,-0.002,0,0.003,0.001,0.001,-0.002,0.005,-0.002,0
,-0.004,0.001,0.002,0.001,0.003,-0.001,0.004,-0.004,-0.003
,-0.003,0,0.001,0.002,0.003,0.001,0.003,-0.003,-0.005
,0,-0.002,0.001,0.002,0.002,0.002,0.001,0,-0.005
,0.002,-0.003,0.001,0.002,0,0.001,0,0.002,-0.003
,0.003,-0.003,0,0.001,-0.003,-0.002,-0.001,0.003,0
,0.002,-0.002,-0.001,0,-0.004,-0.005,-0.001,0.002,0.003
,-0.001,0.001,-0.002,-0.001,-0.004,-0.007,0.001,-0.001,0.005
,-0.003,0.003,-0.003,0,-0.004,-0.006,0.002,-0.003,0.004
,-0.004,0.004,-0.005,0.001,-0.002,-0.004,0.002,-0.004,0.001
,-0.004,0.003,-0.006,0.001,-0.001,-0.001,0.001,-0.004,-0.002
,-0.002,0,-0.007,0,-0.001,0.001,-0.001,-0.002,-0.003
,0.001,-0.002,-0.007,-0.001,-0.002,0.001,-0.003,0.001,-0.002
,0.003,-0.003,-0.005,-0.002,-0.004,-0.001,-0.005,0.003,0.001
,0.005,-0.003,-0.002,-0.001,-0.005,-0.003,-0.004,0.005,0.004
,0.006,-0.002,0,0.001,-0.005,-0.003,-0.002,0.006,0.005
,0.005,-0.002,0.002,0.002,-0.003,-0.002,-0.001,0.005,0.004
,0.004,-0.002,0.002,0.001,-0.001,0,0,0.004,0.001
,0.001,-0.003,0.001,-0.001,0.002,0.002,-0.001,0.001,-0.002
,-0.001,-0.003,0,-0.004,0.002,0.002,-0.002,-0.001,-0.004
,-0.002,-0.003,0.001,-0.005,0.001,0.001,-0.003,-0.002,-0.003
,0,-0.002,0.001,-0.004,0,0,-0.002,0,-0.002
,0.002,-0.001,0.002,-0.002,-0.001,-0.001,0.001,0.002,0
,0.003,0,0,-0.001,0.001,-0.001,0.003,0.003,0.001
,0.002,0,-0.003,-0.001,0.003,0,0.004,0.002,0
,-0.001,-0.001,-0.006,-0.002,0.005,0.001,0.004,-0.001,-0.003
,-0.004,-0.001,-0.008,-0.002,0.004,0.001,0.001,-0.004,-0.004
,-0.006,0,-0.008,-0.001,0.002,0.001,-0.002,-0.006,-0.005
,-0.006,0.002,-0.006,0.001,0,0,-0.004,-0.006,-0.004
,-0.004,0.004,-0.003,0.002,-0.001,0,-0.004,-0.004,-0.001
,-0.001,0.005,-0.001,0.004,0.001,0,-0.003,-0.001,0.001
,0.001,0.004,0.001,0.004,0.003,0,-0.002,0.001,0.001
,0.001,0.002,0.002,0.004,0.004,0,-0.001,0.001,0
,0,0,0.003,0.004,0.004,0.001,-0.001,0,-0.003
,-0.001,-0.002,0.004,0.005,0.001,0.002,-0.002,-0.001,-0.005
,-0.003,-0.002,0.006,0.005,-0.001,0.003,-0.003,-0.003,-0.007
,-0.004,-0.002,0.005,0.006,-0.002,0.003,-0.003,-0.004,-0.008
,-0.005,0,0.004,0.006,-0.001,0.001,-0.003,-0.005,-0.007
,-0.004,0.002,0.001,0.004,0,-0.002,-0.003,-0.004,-0.005
,-0.003,0.004,0,0.002,0.002,-0.004,-0.003,-0.003,-0.003
,-0.002,0.005,-0.001,-0.001,0.001,-0.004,-0.003,-0.002,-0.001
,-0.002,0.006,-0.001,-0.003,0,-0.002,-0.002,-0.002,0.001
,-0.002,0.005,-0.002,-0.003,-0.002,0,0,-0.002,0.002
,-0.003,0.003,-0.002,-0.001,-0.001,0,0.004,-0.003,0.003
,-0.002,0.001,-0.003,0.002,0,-0.001,0.008,-0.002,0.004
,0.001,0,-0.004,0.005,0.003,-0.004,0.011,0.001,0.003
,0.005,-0.001,-0.004,0.007,0.004,-0.006,0.011,0.005,0.003
,0.008,0,-0.002,0.007,0.005,-0.007,0.008,0.008,0.001
,0.008,0,-0.001,0.005,0.004,-0.005,0.004,0.008,-0.001
,0.005,0.001,0.001,0.003,0.003,-0.003,0,0.005,-0.002
,0.001,0.002,0.003,0.001,0.001,0,-0.002,0.001,-0.003
,-0.002,0.002,0.004,0,0,0.001,-0.002,-0.002,-0.002
,-0.003,0.002,0.004,-0.001,-0.001,0.002,0,-0.003,-0.002
,-0.001,0.002,0.004,-0.002,-0.002,0.002,0.001,-0.001,-0.001
,0.001,0.001,0.002,-0.003,-0.002,0.002,0,0.001,0
,0.002,0.001,0,-0.005,-0.003,0.003,-0.001,0.002,-0.001
,0.002,0,-0.001,-0.006,-0.003,0.003,-0.002,0.002,-0.001
,0,0,-0.002,-0.005,-0.003,0.003,-0.003,0,-0.002
,-0.001,0,0,-0.005,-0.003,0.003,-0.003,-0.001,-0.002
,-0.001,0,0.001,-0.005,-0.003,0.003,-0.003,-0.001,-0.002
,-0.001,-0.001,0.002,-0.005,-0.003,0.004,-0.003,-0.001,0
,-0.001,-0.003,0.002,-0.006,-0.004,0.006,-0.003,-0.001,0.002
,-0.002,-0.005,0.001,-0.006,-0.005,0.007,-0.003,-0.002,0.004
,-0.004,-0.006,0,-0.006,-0.006,0.007,-0.004,-0.004,0.005
,-0.006,-0.005,0,-0.004,-0.005,0.005,-0.004,-0.006,0.005
,-0.007,-0.004,0.001,-0.003,-0.003,0.002,-0.003,-0.007,0.004
,-0.006,-0.003,0.002,-0.003,0,-0.001,-0.002,-0.006,0.004
,-0.005,-0.002,0.002,-0.003,0.001,-0.003,-0.002,-0.005,0.003
,-0.005,-0.003,0.001,-0.004,0.001,-0.004,-0.001,-0.005,0.002
,-0.006,-0.004,-0.001,-0.004,0,-0.004,-0.001,-0.006,0.001
,-0.007,-0.004,-0.002,-0.003,-0.001,-0.003,-0.001,-0.007,-0.001
,-0.007,-0.002,-0.001,-0.002,0.001,-0.003,-0.001,-0.007,-0.003
,-0.005,0,0,-0.001,0.004,-0.003,-0.001,-0.005,-0.005
,-0.001,0.002,0,0,0.006,-0.004,-0.002,-0.001,-0.005
,0.002,0.002,-0.001,0,0.007,-0.006,-0.003,0.002,-0.005
,0.004,0.001,-0.002,-0.001,0.005,-0.006,-0.003,0.004,-0.003
,0.003,-0.001,-0.003,-0.002,0.001,-0.005,-0.003,0.003,-0.002
,0.001,-0.002,-0.003,-0.004,-0.002,-0.003,-0.001,0.001,-0.001
,-0.001,-0.004,-0.001,-0.004,-0.004,0,0.001,-0.001,-0.001
,0,-0.005,0.001,-0.003,-0.004,0.002,0.002,0,-0.003
,0.002,-0.006,0.002,-0.002,-0.002,0.002,0.001,0.002,-0.004
,0.004,-0.007,0,-0.001,-0.001,0,-0.001,0.004,-0.006
,0.005,-0.006,-0.002,-0.002,-0.001,-0.002,-0.002,0.005,-0.006
,0.004,-0.005,-0.003,-0.003,-0.001,-0.004,-0.002,0.004,-0.005
,0.003,-0.003,-0.004,-0.003,-0.001,-0.005,-0.001,0.003,-0.003
,0.002,-0.001,-0.004,-0.002,-0.002,-0.004,0.001,0.002,-0.001
,0.002,0,-0.003,0,-0.002,-0.003,0.002,0.002,0
,0.003,0.002,-0.003,0.002,-0.002,-0.002,0.002,0.003,0
,0.003,0.004,-0.004,0.003,-0.001,-0.001,0.002,0.003,0
,0.003,0.005,-0.005,0.002,0.001,-0.001,0.002,0.003,0.001
,0.004,0.006,-0.005,-0.001,0.001,0,0.004,0.004,0.002
,0.004,0.004,-0.004,-0.002,0.001,0,0.006,0.004,0.004
,0.004,0.002,-0.002,-0.002,0,0.001,0.007,0.004,0.005
,0.004,0,0.001,0.001,-0.002,0.002,0.007,0.004,0.005
,0.002,0,0.003,0.004,-0.002,0.003,0.005,0.002,0.003
,0,0.002,0.004,0.006,-0.001,0.003,0.003,0,0.002
,0,0.004,0.005,0.007,0.001,0.003,0.002,0,0.003
,0.001,0.005,0.003,0.006,0.002,0.003,0.001,0.001,0.006
,0.004,0.006,0.001,0.005,0.003,0.004,0.001,0.004,0.009
,0.006,0.005,0,0.004,0.003,0.006,0.001,0.006,0.01
,0.006,0.004,-0.001,0.004,0.004,0.006,0,0.006,0.009
,0.005,0.004,0,0.004,0.005,0.005,-0.001,0.005,0.005
,0.003,0.005,0.002,0.005,0.006,0.003,0,0.003,0.002
,0.002,0.007,0.005,0.006,0.006,0.002,0.001,0.002,0
,0.001,0.006,0.008,0.006,0.006,0.001,0.004,0.001,0.002
,0.003,0.005,0.01,0.006,0.005,0.003,0.005,0.003,0.004
,0.004,0.002,0.01,0.004,0.004,0.006,0.005,0.004,0.005
,0.005,0,0.008,0.003,0.004,0.008,0.004,0.005,0.004
,0.005,0,0.005,0.002,0.005,0.009,0.002,0.005,0.002
,0.003,0.002,0.002,0.003,0.006,0.007,0.001,0.003,0
,0,0.003,0,0.004,0.005,0.003,0.001,0,-0.001
,-0.002,0.004,-0.001,0.004,0.003,-0.001,0.002,-0.002,0
,-0.004,0.003,-0.001,0.003,-0.001,-0.005,0.003,-0.004,0.001
,-0.004,0.001,0.001,0,-0.005,-0.006,0.004,-0.004,0
,-0.004,-0.001,0.003,-0.004,-0.007,-0.006,0.003,-0.004,-0.002
,-0.004,-0.003,0.004,-0.007,-0.006,-0.005,0.002,-0.004,-0.006
,-0.005,-0.004,0.002,-0.008,-0.005,-0.006,-0.001,-0.005,-0.009
,-0.008,-0.006,-0.003,-0.008,-0.004,-0.008,-0.005,-0.008,-0.011
,-0.011,-0.009,-0.007,-0.006,-0.006,-0.01,-0.01,-0.011,-0.009
,-0.013,-0.012,-0.011,-0.005,-0.008,-0.011,-0.013,-0.013,-0.007
,-0.015,-0.013,-0.012,-0.006,-0.011,-0.011,-0.013,-0.015,-0.005
,-0.015,-0.013,-0.012,-0.008,-0.012,-0.01,-0.011,-0.015,-0.006
,-0.015,-0.011,-0.012,-0.012,-0.011,-0.009,-0.008,-0.015,-0.009
,-0.015,-0.01,-0.014,-0.015,-0.011,-0.011,-0.006,-0.015,-0.014
,-0.015,-0.009,-0.018,-0.018,-0.012,-0.014,-0.007,-0.015,-0.018
,-0.017,-0.01,-0.023,-0.019,-0.016,-0.018,-0.01,-0.017,-0.02
,-0.019,-0.011,-0.025,-0.021,-0.021,-0.022,-0.014,-0.019,-0.02
,-0.022,-0.013,-0.026,-0.024,-0.026,-0.025,-0.017,-0.022,-0.019
,-0.025,-0.016,-0.024,-0.027,-0.029,-0.026,-0.018,-0.025,-0.019
,-0.026,-0.018,-0.024,-0.03,-0.029,-0.027,-0.02,-0.026,-0.02
,-0.025,-0.021,-0.025,-0.032,-0.027,-0.029,-0.022,-0.025,-0.023
,-0.023,-0.025,-0.028,-0.033,-0.026,-0.031,-0.025,-0.023,-0.026
,-0.022,-0.028,-0.031,-0.032,-0.026,-0.034,-0.03,-0.022,-0.028
,-0.023,-0.031,-0.034,-0.031,-0.029,-0.035,-0.034,-0.023,-0.03
,-0.026,-0.034,-0.034,-0.03,-0.031,-0.034,-0.037,-0.026,-0.03
,-0.03,-0.035,-0.034,-0.03,-0.033,-0.032,-0.039,-0.03,-0.029
,-0.033,-0.036,-0.033,-0.031,-0.033,-0.03,-0.039,-0.033,-0.029
,-0.035,-0.036,-0.032,-0.033,-0.032,-0.028,-0.038,-0.035,-0.029
,-0.035,-0.036,-0.032,-0.034,-0.031,-0.027,-0.037,-0.035,-0.03
,-0.033,-0.036,-0.031,-0.035,-0.03,-0.027,-0.035,-0.033,-0.031
,-0.029,-0.037,-0.03,-0.036,-0.03,-0.028,-0.034,-0.029,-0.032
,-0.026,-0.037,-0.03,-0.036,-0.029,-0.03,-0.032,-0.026,-0.032
,-0.023,-0.036,-0.031,-0.037,-0.028,-0.032,-0.031,-0.023,-0.031
,-0.022,-0.035,-0.034,-0.038,-0.026,-0.034,-0.031,-0.022,-0.03
,-0.023,-0.033,-0.038,-0.04,-0.025,-0.035,-0.032,-0.023,-0.031
,-0.025,-0.031,-0.041,-0.041,-0.025,-0.036,-0.035,-0.025,-0.032
,-0.027,-0.028,-0.043,-0.041,-0.027,-0.036,-0.039,-0.027,-0.034
,-0.029,-0.027,-0.042,-0.04,-0.03,-0.035,-0.041,-0.029,-0.035
,-0.03,-0.029,-0.041,-0.04,-0.032,-0.035,-0.042,-0.03,-0.034
,-0.032,-0.033,-0.042,-0.043,-0.034,-0.036,-0.042,-0.032,-0.033
,-0.036,-0.039,-0.046,-0.05,-0.037,-0.04,-0.043,-0.036,-0.033
,-0.043,-0.046,-0.053,-0.061,-0.042,-0.045,-0.045,-0.043,-0.036
,-0.053,-0.054,-0.063,-0.076,-0.051,-0.053,-0.051,-0.053,-0.044
,-0.063,-0.062,-0.075,-0.09,-0.063,-0.062,-0.061,-0.063,-0.055
,-0.073,-0.071,-0.087,-0.102,-0.075,-0.073,-0.075,-0.073,-0.065
,-0.081,-0.081,-0.098,-0.11,-0.085,-0.085,-0.09,-0.081,-0.072
,-0.088,-0.091,-0.107,-0.116,-0.092,-0.097,-0.103,-0.088,-0.074
,-0.094,-0.102,-0.114,-0.123,-0.097,-0.108,-0.112,-0.094,-0.074
,-0.101,-0.113,-0.121,-0.133,-0.101,-0.118,-0.118,-0.101,-0.076
,-0.11,-0.124,-0.129,-0.148,-0.107,-0.127,-0.123,-0.11,-0.083
,-0.122,-0.135,-0.138,-0.165,-0.116,-0.135,-0.129,-0.122,-0.094
,-0.136,-0.147,-0.15,-0.18,-0.129,-0.145,-0.141,-0.136,-0.107
,-0.152,-0.159,-0.166,-0.193,-0.145,-0.159,-0.156,-0.152,-0.121
,-0.173,-0.171,-0.185,-0.205,-0.163,-0.178,-0.175,-0.173,-0.136
,-0.199,-0.182,-0.206,-0.217,-0.18,-0.202,-0.192,-0.199,-0.154
,-0.226,-0.193,-0.224,-0.223,-0.188,-0.228,-0.204,-0.226,-0.18
,-0.243,-0.198,-0.229,-0.208,-0.174,-0.243,-0.208,-0.243,-0.209
,-0.234,-0.185,-0.201,-0.154,-0.122,-0.232,-0.192,-0.234,-0.23
,-0.181,-0.134,-0.12,-0.045,-0.013,-0.173,-0.141,-0.181,-0.228
,-0.072,-0.019,0.032,0.119,0.168,-0.049,-0.036,-0.072,-0.189
,0.096,0.178,0.253,0.321,0.417,0.142,0.139,0.096,-0.108
,0.313,0.458,0.522,0.532,0.712,0.388,0.386,0.313,0.011
,0.558,0.798,0.803,0.727,1.012,0.663,0.689,0.558,0.162
,0.82,1.159,1.071,0.905,1.273,0.947,1.022,0.82,0.346
,1.111,1.518,1.342,1.122,1.49,1.259,1.368,1.111,0.593
,1.497,1.893,1.701,1.495,1.724,1.678,1.747,1.497,0.972
,2.081,2.345,2.276,2.16,2.097,2.324,2.225,2.081,1.585
,2.942,2.929,3.151,3.165,2.715,3.27,2.884,2.942,2.511
,4.018,3.607,4.236,4.337,3.541,4.417,3.735,4.018,3.707
,5.021,4.178,5.183,5.239,4.311,5.411,4.626,5.021,4.908
,5.465,4.293,5.455,5.302,4.565,5.711,5.21,5.465,5.635
,4.859,3.588,4.559,4.101,3.848,4.821,5.041,4.859,5.357
,2.97,1.899,2.348,1.649,1.981,2.588,3.779,2.97,3.768
,0.035,-0.568,-0.798,-1.496,-0.759,-0.615,1.404,0.035,1.023
,-3.247,-3.235,-4.049,-4.42,-3.677,-3.957,-1.675,-3.247,-2.22
,-5.949,-5.353,-6.446,-6.249,-5.927,-6.468,-4.71,-5.949,-5.018
,-7.309,-6.331,-7.33,-6.558,-6.879,-7.466,-6.87,-7.309,-6.55
,-7.068,-6.007,-6.647,-5.551,-6.408,-6.863,-7.579,-7.068,-6.498
,-5.583,-4.72,-4.944,-3.91,-4.929,-5.184,-6.779,-5.583,-5.182
,-3.626,-3.117,-3.066,-2.407,-3.171,-3.273,-4.977,-3.626,-3.371
,-1.987,-1.817,-1.717,-1.512,-1.798,-1.854,-3.009,-1.987,-1.869
,-1.096,-1.126,-1.141,-1.228,-1.109,-1.206,-1.624,-1.096,-1.113
,-0.892,-0.953,-1.11,-1.227,-0.97,-1.127,-1.128,-0.892,-1.031
,-0.981,-0.971,-1.177,-1.135,-1.005,-1.18,-1.289,-0.981,-1.205
,-0.953,-0.869,-1.005,-0.791,-0.882,-1.02,-1.571,-0.953,-1.21
,-0.633,-0.545,-0.553,-0.292,-0.506,-0.583,-1.509,-0.633,-0.875
,-0.128,-0.112,-0.02,0.14,-0.02,-0.056,-0.991,-0.128,-0.333
,0.321,0.234,0.35,0.35,0.357,0.323,-0.258,0.321,0.145
,0.54,0.38,0.454,0.348,0.505,0.446,0.331,0.54,0.37
,0.533,0.356,0.379,0.27,0.467,0.386,0.562,0.533,0.349
,0.435,0.29,0.295,0.256,0.387,0.309,0.484,0.435,0.236
,0.395,0.297,0.328,0.356,0.389,0.339,0.321,0.395,0.2
,0.47,0.401,0.476,0.512,0.497,0.48,0.285,0.47,0.299
,0.609,0.542,0.644,0.627,0.639,0.643,0.432,0.609,0.471
,0.716,0.635,0.732,0.646,0.726,0.729,0.664,0.716,0.604
,0.729,0.64,0.708,0.583,0.718,0.707,0.831,0.729,0.628
,0.66,0.579,0.618,0.5,0.644,0.618,0.853,0.66,0.56
,0.569,0.51,0.536,0.453,0.567,0.537,0.759,0.569,0.469
,0.513,0.479,0.507,0.453,0.533,0.509,0.646,0.513,0.422
,0.506,0.489,0.522,0.47,0.541,0.527,0.595,0.506,0.435
,0.521,0.512,0.54,0.467,0.557,0.549,0.618,0.521,0.471
,0.518,0.511,0.522,0.427,0.542,0.536,0.667,0.518,0.483
,0.479,0.471,0.462,0.363,0.488,0.479,0.681,0.479,0.447
,0.414,0.408,0.385,0.302,0.414,0.403,0.633,0.414,0.376
,0.35,0.348,0.323,0.264,0.349,0.339,0.546,0.35,0.307
,0.308,0.309,0.291,0.248,0.312,0.303,0.462,0.308,0.267
,0.289,0.293,0.28,0.239,0.297,0.289,0.413,0.289,0.258
,0.278,0.284,0.271,0.221,0.285,0.278,0.398,0.278,0.261
,0.257,0.266,0.247,0.19,0.26,0.254,0.393,0.257,0.252
