Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,-0.007,0.002,-0.001,0.034,-0.138,-0.003,-0.03,-0.007,-0.009
,-0.008,0.002,0.002,0.037,-0.139,-0.002,-0.002,-0.008,-0.011
,-0.008,0,0.003,0.039,-0.139,-0.003,0.025,-0.008,-0.012
,-0.008,-0.001,0.002,0.041,-0.136,-0.005,0.052,-0.008,-0.014
,-0.007,-0.001,0.002,0.042,-0.134,-0.007,0.085,-0.007,-0.015
,-0.006,0.001,0.002,0.04,-0.132,-0.008,0.125,-0.006,-0.015
,-0.005,0.004,0.005,0.035,-0.131,-0.007,0.168,-0.005,-0.013
,-0.003,0.006,0.007,0.029,-0.13,-0.005,0.201,-0.003,-0.01
,-0.002,0.007,0.007,0.022,-0.128,-0.001,0.214,-0.002,-0.007
,-0.001,0.006,0.004,0.015,-0.124,0.002,0.201,-0.001,-0.005
,0,0.002,-0.002,0.01,-0.119,0.005,0.171,0,-0.005
,0.001,-0.002,-0.008,0.007,-0.113,0.008,0.137,0.001,-0.007
,0.003,-0.007,-0.011,0.004,-0.108,0.01,0.111,0.003,-0.008
,0.005,-0.01,-0.01,0.002,-0.103,0.011,0.09,0.005,-0.009
,0.007,-0.012,-0.006,0,-0.1,0.012,0.065,0.007,-0.007
,0.008,-0.013,-0.002,-0.002,-0.096,0.012,0.025,0.008,-0.005
,0.009,-0.013,0,-0.005,-0.09,0.013,-0.029,0.009,-0.004
,0.01,-0.013,0,-0.009,-0.082,0.014,-0.085,0.01,-0.003
,0.012,-0.012,0,-0.012,-0.071,0.015,-0.124,0.012,-0.002
,0.014,-0.011,0.001,-0.013,-0.06,0.014,-0.134,0.014,0
,0.017,-0.011,0.005,-0.013,-0.049,0.012,-0.113,0.017,0.004
,0.02,-0.01,0.008,-0.012,-0.04,0.009,-0.074,0.02,0.01
,0.021,-0.009,0.009,-0.011,-0.032,0.005,-0.027,0.021,0.015
,0.02,-0.008,0.006,-0.013,-0.026,0.004,0.025,0.02,0.017
,0.018,-0.006,0.001,-0.016,-0.02,0.005,0.09,0.018,0.016
,0.015,-0.003,-0.005,-0.019,-0.013,0.007,0.179,0.015,0.013
,0.014,0,-0.008,-0.021,-0.006,0.008,0.291,0.014,0.011
,0.012,0.002,-0.007,-0.019,0.001,0.006,0.405,0.012,0.01
,0.01,0.002,-0.005,-0.015,0.009,0.002,0.477,0.01,0.011
,0.008,-0.001,-0.002,-0.01,0.015,-0.004,0.451,0.008,0.013
,0.005,-0.004,0,-0.006,0.019,-0.008,0.28,0.005,0.014
,0.003,-0.007,0.001,-0.003,0.021,-0.01,-0.056,0.003,0.013
,0.001,-0.007,0.002,-0.001,0.021,-0.01,-0.532,0.001,0.011
,0,-0.005,0.004,0.001,0.021,-0.009,-1.079,0,0.01
,0,-0.001,0.005,0.002,0.022,-0.009,-1.596,0,0.011
,-0.001,0.003,0.006,0.004,0.024,-0.01,-1.984,-0.001,0.012
,-0.002,0.006,0.004,0.007,0.026,-0.013,-2.174,-0.002,0.013
,-0.002,0.009,0.001,0.009,0.029,-0.017,-2.142,-0.002,0.011
,-0.002,0.011,-0.001,0.012,0.029,-0.02,-1.905,-0.002,0.006
,-0.002,0.014,-0.001,0.013,0.027,-0.021,-1.496,-0.002,0.001
,-0.003,0.017,0,0.011,0.025,-0.02,-0.953,-0.003,-0.004
,-0.005,0.018,0.002,0.008,0.023,-0.016,-0.31,-0.005,-0.007
,-0.007,0.017,0.003,0.003,0.024,-0.012,0.387,-0.007,-0.009
,-0.01,0.013,0.002,0,0.025,-0.007,1.07,-0.01,-0.01
,-0.012,0.01,0.001,-0.001,0.025,-0.004,1.653,-0.012,-0.011
,-0.012,0.008,0,0,0.022,-0.003,2.061,-0.012,-0.012
,-0.011,0.008,-0.001,0.002,0.016,-0.003,2.256,-0.011,-0.014
,-0.01,0.009,-0.001,0.003,0.008,-0.003,2.251,-0.01,-0.015
,-0.008,0.01,0,0.003,0.002,-0.002,2.104,-0.008,-0.016
,-0.008,0.01,0.001,0.001,0,0,1.886,-0.008,-0.017
,-0.008,0.01,0.001,-0.003,0.002,0.002,1.655,-0.008,-0.017
,-0.007,0.01,0.001,-0.006,0.004,0.004,1.445,-0.007,-0.015
,-0.003,0.01,0,-0.01,0.004,0.006,1.261,-0.003,-0.013
,0.002,0.009,-0.002,-0.013,0,0.008,1.097,0.002,-0.01
,0.007,0.006,-0.004,-0.016,-0.006,0.01,0.945,0.007,-0.006
,0.012,0.002,-0.005,-0.017,-0.011,0.011,0.797,0.012,-0.003
,0.013,-0.003,-0.005,-0.017,-0.012,0.012,0.652,0.013,0
,0.012,-0.005,-0.004,-0.016,-0.009,0.013,0.507,0.012,0.003
