Var1,Var2,Var3,Var4
,-0.005,0.003,0.003
,-0.002,0.002,0.002
,-0.001,0.001,0.001
,-0.001,0,0
,-0.001,-0.001,-0.001
,-0.001,-0.001,-0.001
,-0.001,0,0
,0,0,0
,0,-0.001,-0.001
,0,-0.003,-0.003
,-0.001,-0.005,-0.005
,-0.001,-0.006,-0.006
,-0.001,-0.005,-0.005
,0,-0.003,-0.003
,0,0,0
,-0.001,0.001,0.001
,-0.003,0.002,0.002
,-0.004,0.002,0.002
,-0.003,0.002,0.002
,-0.002,0.003,0.003
,0,0.004,0.004
,0.001,0.003,0.003
,0.001,0.003,0.003
,0,0.002,0.002
,-0.001,0.001,0.001
,0,0,0
,0.001,-0.001,-0.001
,0.002,-0.002,-0.002
,0.003,-0.002,-0.002
,0.004,0,0
,0.005,0.002,0.002
,0.006,0.003,0.003
,0.006,0.004,0.004
,0.005,0.003,0.003
,0.003,0.002,0.002
,0,0.002,0.002
,-0.001,0.001,0.001
,-0.001,0.001,0.001
,0.001,0,0
,0.003,-0.002,-0.002
,0.005,-0.003,-0.003
,0.005,-0.003,-0.003
,0.003,0,0
,0,0.003,0.003
,-0.003,0.005,0.005
,-0.005,0.003,0.003
,-0.005,-0.001,-0.001
,-0.004,-0.005,-0.005
,-0.002,-0.006,-0.006
,-0.001,-0.005,-0.005
,0,-0.001,-0.001
,-0.001,0.003,0.003
,-0.001,0.004,0.004
,-0.002,0.003,0.003
,-0.002,0.001,0.001
,-0.002,0,0
,0,0.002,0.002
,0.002,0.004,0.004
,0.004,0.007,0.007
,0.004,0.006,0.006
,0.003,0.003,0.003
,0.001,-0.002,-0.002
,-0.002,-0.005,-0.005
,-0.003,-0.007,-0.007
,-0.003,-0.005,-0.005
,-0.003,-0.003,-0.003
,-0.002,-0.001,-0.001
,-0.001,-0.001,-0.001
,0,-0.002,-0.002
,0.001,-0.004,-0.004
,0.002,-0.004,-0.004
,0.002,-0.003,-0.003
,0,0,0
,-0.002,0.004,0.004
,-0.003,0.006,0.006
,-0.002,0.006,0.006
,0.001,0.004,0.004
,0.004,0.001,0.001
,0.005,-0.004,-0.004
,0.004,-0.006,-0.006
,0,-0.007,-0.007
,-0.004,-0.005,-0.005
,-0.005,-0.001,-0.001
,-0.003,0.001,0.001
,0.001,0.002,0.002
,0.004,0,0
,0.004,-0.004,-0.004
,0.002,-0.006,-0.006
,-0.002,-0.005,-0.005
,-0.004,-0.002,-0.002
,-0.004,0.002,0.002
,-0.001,0.005,0.005
,0.003,0.005,0.005
,0.005,0.004,0.004
,0.005,0.002,0.002
,0.002,0.002,0.002
,-0.002,0.003,0.003
,-0.006,0.006,0.006
,-0.007,0.006,0.006
,-0.007,0.005,0.005
,-0.006,0.002,0.002
,-0.004,-0.002,-0.002
,-0.003,-0.005,-0.005
,-0.001,-0.006,-0.006
,0.001,-0.006,-0.006
,0.004,-0.005,-0.005
,0.005,-0.005,-0.005
,0.003,-0.005,-0.005
,0,-0.005,-0.005
,-0.002,-0.002,-0.002
,-0.003,0.002,0.002
,-0.001,0.006,0.006
,0.002,0.008,0.008
,0.005,0.008,0.008
,0.006,0.004,0.004
,0.005,0,0
,0.003,-0.005,-0.005
,0.001,-0.006,-0.006
,0,-0.005,-0.005
,-0.001,-0.002,-0.002
,-0.001,0.001,0.001
,-0.002,0.002,0.002
,-0.004,0.002,0.002
,-0.005,0.002,0.002
,-0.005,0.002,0.002
,-0.003,0.003,0.003
,-0.001,0.004,0.004
,0.003,0.004,0.004
,0.005,0.004,0.004
,0.007,0.004,0.004
,0.006,0.003,0.003
,0.004,0.002,0.002
,0.001,0.001,0.001
,-0.002,-0.001,-0.001
,-0.003,-0.002,-0.002
,-0.002,-0.004,-0.004
,0,-0.004,-0.004
,0.001,-0.004,-0.004
,0.001,-0.003,-0.003
,-0.001,-0.002,-0.002
,-0.003,0,0
,-0.003,0.002,0.002
,-0.001,0.004,0.004
,0.002,0.004,0.004
,0.003,0.003,0.003
,0.002,0.001,0.001
,0,0,0
,-0.001,0.001,0.001
,0,0.003,0.003
,0.003,0.005,0.005
,0.005,0.006,0.006
,0.005,0.005,0.005
,0.004,0.002,0.002
,0.002,-0.002,-0.002
,0.001,-0.005,-0.005
,0.001,-0.006,-0.006
,0.003,-0.006,-0.006
,0.003,-0.006,-0.006
,0.001,-0.005,-0.005
,-0.002,-0.003,-0.003
,-0.004,0,0
,-0.004,0.002,0.002
,-0.002,0.004,0.004
,0.001,0.004,0.004
,0.001,0.002,0.002
,0.001,0,0
,-0.001,-0.002,-0.002
,-0.002,-0.001,-0.001
,-0.003,0,0
,-0.003,0,0
,-0.004,-0.001,-0.001
,-0.005,-0.003,-0.003
,-0.004,-0.004,-0.004
,-0.002,-0.003,-0.003
,0.001,-0.001,-0.001
,0.003,0.001,0.001
,0.003,0.002,0.002
,0.001,0.001,0.001
,-0.001,-0.001,-0.001
,-0.002,-0.001,-0.001
,0,0,0
,0.004,0.002,0.002
,0.008,0.004,0.004
,0.009,0.004,0.004
,0.006,0.003,0.003
,0,0.001,0.001
,-0.005,0,0
,-0.008,-0.002,-0.002
,-0.008,-0.003,-0.003
,-0.005,-0.003,-0.003
,-0.002,-0.003,-0.003
,0.001,-0.002,-0.002
,0.003,-0.001,-0.001
,0.003,0,0
,0.002,0,0
,0.001,0.001,0.001
,0.001,0.001,0.001
,0,0.001,0.001
,0,0.002,0.002
,-0.001,0.002,0.002
,-0.002,0.002,0.002
,-0.003,0.001,0.001
,-0.003,-0.001,-0.001
,-0.003,-0.002,-0.002
,-0.001,-0.004,-0.004
,0,-0.005,-0.005
,0.001,-0.006,-0.006
,0.002,-0.005,-0.005
,0.002,-0.002,-0.002
,0.002,0.001,0.001
,0.002,0.002,0.002
,0.001,0.002,0.002
,0,0.001,0.001
,-0.001,-0.001,-0.001
,-0.002,-0.003,-0.003
,-0.002,-0.003,-0.003
,-0.002,-0.002,-0.002
,-0.001,0.001,0.001
,-0.001,0.004,0.004
,-0.002,0.005,0.005
,-0.003,0.004,0.004
,-0.004,0.001,0.001
,-0.005,-0.002,-0.002
,-0.006,-0.004,-0.004
,-0.005,-0.004,-0.004
,-0.004,-0.001,-0.001
,-0.002,0.002,0.002
,0,0.004,0.004
,0.002,0.004,0.004
,0.004,0.004,0.004
,0.005,0.003,0.003
,0.004,0.001,0.001
,0.002,0,0
,-0.001,0,0
,-0.003,0,0
,-0.003,0,0
,-0.003,0,0
,-0.001,-0.002,-0.002
,0.001,-0.003,-0.003
,0.002,-0.004,-0.004
,0.002,-0.004,-0.004
,0.001,-0.003,-0.003
,0.001,-0.002,-0.002
,0.002,-0.001,-0.001
,0.003,0,0
,0.003,0,0
,0.002,0.001,0.001
,-0.001,0.002,0.002
,-0.003,0.002,0.002
,-0.004,0.003,0.003
,-0.002,0.003,0.003
,0.001,0.003,0.003
,0.004,0.002,0.002
,0.006,0.002,0.002
,0.005,0.002,0.002
,0.002,0.001,0.001
,-0.001,0.002,0.002
,-0.003,0.003,0.003
,-0.003,0.005,0.005
,-0.001,0.006,0.006
,0.001,0.005,0.005
,0.004,0.002,0.002
,0.005,-0.001,-0.001
,0.005,-0.003,-0.003
,0.005,-0.004,-0.004
,0.005,-0.002,-0.002
,0.004,0,0
,0.003,0.001,0.001
,0.001,0.001,0.001
,-0.002,-0.001,-0.001
,-0.005,-0.004,-0.004
,-0.007,-0.005,-0.005
,-0.007,-0.006,-0.006
,-0.005,-0.006,-0.006
,-0.001,-0.006,-0.006
,0.003,-0.006,-0.006
,0.005,-0.005,-0.005
,0.004,-0.003,-0.003
,0.002,0,0
,-0.002,0.003,0.003
,-0.004,0.005,0.005
,-0.004,0.006,0.006
,-0.002,0.004,0.004
,-0.001,0.002,0.002
,0.001,0,0
,0.002,-0.001,-0.001
,0.003,0,0
,0.003,0.002,0.002
,0.002,0.004,0.004
,0,0.004,0.004
,-0.003,0.002,0.002
,-0.005,-0.001,-0.001
,-0.006,-0.004,-0.004
,-0.005,-0.007,-0.007
,-0.003,-0.008,-0.008
,-0.001,-0.007,-0.007
,0.001,-0.005,-0.005
,0.001,-0.002,-0.002
,0.001,0,0
,0.003,0.002,0.002
,0.006,0.002,0.002
,0.009,0.003,0.003
,0.01,0.004,0.004
,0.007,0.005,0.005
,0.001,0.006,0.006
,-0.005,0.006,0.006
,-0.009,0.005,0.005
,-0.009,0.001,0.001
,-0.005,-0.003,-0.003
,0,-0.006,-0.006
,0.003,-0.006,-0.006
,0.004,-0.004,-0.004
,0.002,0,0
,0,0.003,0.003
,-0.001,0.006,0.006
,-0.001,0.006,0.006
,-0.001,0.005,0.005
,0,0.002,0.002
,0,0,0
,0,-0.001,-0.001
,0,-0.001,-0.001
,-0.001,0,0
,0,0.001,0.001
,0.001,0.003,0.003
,0.001,0.004,0.004
,0.002,0.005,0.005
,0.002,0.005,0.005
,0.001,0.004,0.004
,0.001,0.001,0.001
,-0.001,-0.001,-0.001
,-0.003,-0.003,-0.003
,-0.004,-0.004,-0.004
,-0.005,-0.005,-0.005
,-0.004,-0.004,-0.004
,-0.001,-0.002,-0.002
,0.001,-0.001,-0.001
,0.003,-0.001,-0.001
,0.004,-0.002,-0.002
,0.003,-0.005,-0.005
,0.001,-0.007,-0.007
,-0.001,-0.007,-0.007
,-0.002,-0.005,-0.005
,-0.003,-0.002,-0.002
,-0.003,0.001,0.001
,-0.003,0.001,0.001
,-0.002,0,0
,0,-0.002,-0.002
,0.002,-0.004,-0.004
,0.003,-0.003,-0.003
,0.003,-0.001,-0.001
,0.002,0.002,0.002
,0.001,0.004,0.004
,0,0.005,0.005
,0,0.006,0.006
,0.001,0.005,0.005
,0.001,0.004,0.004
,-0.001,0.003,0.003
,-0.002,0.003,0.003
,-0.003,0.002,0.002
,-0.002,0.001,0.001
,-0.001,0,0
,0.001,-0.001,-0.001
,0.002,-0.002,-0.002
,0.003,-0.003,-0.003
,0.002,-0.003,-0.003
,0.001,-0.002,-0.002
,0,-0.002,-0.002
,0.001,-0.002,-0.002
,0.002,0,0
,0.004,0.002,0.002
,0.005,0.004,0.004
,0.005,0.006,0.006
,0.002,0.005,0.005
,-0.001,0.004,0.004
,-0.003,0.001,0.001
,-0.004,-0.001,-0.001
,-0.004,-0.002,-0.002
,-0.003,-0.002,-0.002
,-0.002,-0.001,-0.001
,0.001,0,0
,0.002,0.001,0.001
,0.002,0,0
,0.001,-0.001,-0.001
,-0.001,-0.002,-0.002
,-0.002,-0.003,-0.003
,-0.002,-0.002,-0.002
,-0.001,0,0
,0.001,0.002,0.002
,0.003,0.003,0.003
,0.002,0.003,0.003
,0.001,0.002,0.002
,-0.002,-0.001,-0.001
,-0.004,-0.003,-0.003
,-0.004,-0.005,-0.005
,-0.004,-0.005,-0.005
,-0.002,-0.003,-0.003
,-0.002,-0.001,-0.001
,-0.001,0.002,0.002
,-0.002,0.004,0.004
,-0.002,0.004,0.004
,-0.001,0.003,0.003
,0,0.001,0.001
,0.001,0,0
,0.001,0,0
,0,0.001,0.001
,-0.001,0.004,0.004
,-0.001,0.005,0.005
,-0.001,0.005,0.005
,0.001,0.002,0.002
,0.002,-0.001,-0.001
,0.003,-0.003,-0.003
,0.001,-0.004,-0.004
,-0.002,-0.003,-0.003
,-0.004,-0.002,-0.002
,-0.005,-0.001,-0.001
,-0.003,0,0
,0,-0.001,-0.001
,0.004,-0.001,-0.001
,0.006,-0.002,-0.002
,0.005,-0.003,-0.003
,0.002,-0.003,-0.003
,0,-0.002,-0.002
,-0.001,-0.001,-0.001
,0.001,0,0
,0.003,0,0
,0.005,-0.001,-0.001
,0.004,-0.002,-0.002
,0.001,-0.003,-0.003
,-0.002,-0.003,-0.003
,-0.005,-0.002,-0.002
,-0.005,-0.001,-0.001
,-0.004,0,0
,-0.003,0.001,0.001
,-0.002,0.001,0.001
,-0.004,0,0
,-0.005,-0.001,-0.001
,-0.006,-0.002,-0.002
,-0.005,-0.003,-0.003
,-0.001,-0.002,-0.002
,0.003,-0.002,-0.002
,0.007,-0.001,-0.001
,0.008,0,0
,0.007,0,0
,0.004,0,0
,0.001,0,0
,0,0,0
,-0.001,0,0
,0,-0.001,-0.001
,0,-0.001,-0.001
,-0.001,-0.001,-0.001
,-0.002,0,0
,-0.002,0.002,0.002
,-0.002,0.004,0.004
,0.001,0.006,0.006
,0.004,0.007,0.007
,0.006,0.007,0.007
,0.007,0.007,0.007
,0.006,0.006,0.006
,0.003,0.004,0.004
,0.001,0.003,0.003
,0,0.001,0.001
,0,-0.002,-0.002
,0,-0.004,-0.004
,0,-0.005,-0.005
,-0.002,-0.005,-0.005
,-0.004,-0.006,-0.006
,-0.005,-0.005,-0.005
,-0.005,-0.005,-0.005
,-0.003,-0.004,-0.004
,-0.001,-0.002,-0.002
,0.001,0,0
,0.002,0,0
,0.003,0,0
,0.004,0,0
,0.005,0,0
,0.005,0.002,0.002
,0.004,0.003,0.003
,0,0.004,0.004
,-0.004,0.002,0.002
,-0.006,-0.001,-0.001
,-0.007,-0.003,-0.003
,-0.004,-0.003,-0.003
,-0.001,0,0
,0.001,0.003,0.003
,0.002,0.005,0.005
,0.001,0.003,0.003
,-0.001,-0.001,-0.001
,-0.002,-0.003,-0.003
,-0.002,-0.003,-0.003
,-0.001,0,0
,0,0.004,0.004
,0,0.007,0.007
,0.001,0.006,0.006
,0.001,0.004,0.004
,0.002,0.002,0.002
,0.003,0,0
,0.003,-0.001,-0.001
,0.001,0,0
,-0.002,0,0
,-0.005,0,0
,-0.007,-0.002,-0.002
,-0.007,-0.003,-0.003
,-0.005,-0.005,-0.005
,-0.002,-0.005,-0.005
,0.002,-0.005,-0.005
,0.004,-0.003,-0.003
,0.004,-0.001,-0.001
,0.002,0,0
,0,0.001,0.001
,-0.002,0.003,0.003
,-0.002,0.005,0.005
,0,0.006,0.006
,0.002,0.006,0.006
,0.002,0.005,0.005
,0,0.002,0.002
,-0.004,-0.002,-0.002
,-0.006,-0.004,-0.004
,-0.005,-0.004,-0.004
,-0.002,-0.004,-0.004
,0.003,-0.002,-0.002
,0.005,-0.001,-0.001
,0.005,-0.001,-0.001
,0.002,0.001,0.001
,0,0.003,0.003
,0,0.004,0.004
,0.002,0.005,0.005
,0.005,0.004,0.004
,0.006,0.001,0.001
,0.005,-0.001,-0.001
,0.002,-0.002,-0.002
,-0.001,-0.002,-0.002
,-0.002,0,0
,-0.002,0,0
,0,-0.002,-0.002
,0,-0.005,-0.005
,0,-0.007,-0.007
,-0.002,-0.006,-0.006
,-0.003,-0.003,-0.003
,-0.003,0.001,0.001
,-0.001,0.003,0.003
,0.001,0.003,0.003
,0.004,0,0
,0.004,-0.003,-0.003
,0.003,-0.005,-0.005
,0,-0.004,-0.004
,-0.002,-0.001,-0.001
,-0.004,0.001,0.001
,-0.003,0.002,0.002
,-0.003,0.001,0.001
,-0.002,-0.002,-0.002
,-0.002,-0.004,-0.004
,-0.002,-0.004,-0.004
,-0.002,-0.003,-0.003
,-0.001,-0.002,-0.002
,0.001,0,0
,0.002,0.001,0.001
,0.003,0.001,0.001
,0.003,0,0
,0.003,0,0
,0.003,0.002,0.002
,0.003,0.004,0.004
,0.003,0.006,0.006
,0.002,0.007,0.007
,0,0.007,0.007
,-0.002,0.005,0.005
,-0.004,0.003,0.003
,-0.005,0.001,0.001
,-0.003,0,0
,0.001,0.001,0.001
,0.005,0.001,0.001
,0.006,0.001,0.001
,0.005,-0.001,-0.001
,0.001,-0.003,-0.003
,-0.003,-0.004,-0.004
,-0.004,-0.003,-0.003
,-0.003,-0.001,-0.001
,0.001,0.001,0.001
,0.004,0.002,0.002
,0.005,0.001,0.001
,0.004,-0.001,-0.001
,0.002,-0.003,-0.003
,0.001,-0.001,-0.001
,0.001,0.002,0.002
,0.003,0.006,0.006
,0.005,0.008,0.008
,0.005,0.007,0.007
,0.003,0.004,0.004
,0.001,-0.001,-0.001
,-0.001,-0.004,-0.004
,-0.003,-0.006,-0.006
,-0.003,-0.006,-0.006
,-0.004,-0.005,-0.005
,-0.004,-0.004,-0.004
,-0.005,-0.004,-0.004
,-0.005,-0.004,-0.004
,-0.004,-0.003,-0.003
,-0.002,-0.003,-0.003
,0,-0.002,-0.002
,0.001,-0.002,-0.002
,0.001,-0.002,-0.002
,-0.001,-0.002,-0.002
,-0.003,-0.002,-0.002
,-0.005,-0.001,-0.001
,-0.007,-0.001,-0.001
,-0.008,0,0
,-0.007,0,0
,-0.004,0,0
,0,0.002,0.002
,0.003,0.003,0.003
,0.004,0.005,0.005
,0.004,0.004,0.004
,0.003,0.003,0.003
,0.004,0.001,0.001
,0.005,0.001,0.001
,0.007,0.002,0.002
,0.007,0.004,0.004
,0.006,0.005,0.005
,0.005,0.004,0.004
,0.004,0.002,0.002
,0.003,-0.002,-0.002
,0.001,-0.005,-0.005
,-0.001,-0.005,-0.005
,-0.004,-0.004,-0.004
,-0.006,-0.002,-0.002
,-0.006,0,0
,-0.005,0,0
,-0.003,-0.001,-0.001
,-0.002,-0.002,-0.002
,-0.001,-0.002,-0.002
,-0.001,-0.001,-0.001
,0,0.001,0.001
,0.001,0.002,0.002
,0.002,0.002,0.002
,0.002,0.002,0.002
,0.002,0.002,0.002
,0.002,0.001,0.001
,0.001,0,0
,0.001,-0.002,-0.002
,0,-0.004,-0.004
,-0.001,-0.005,-0.005
,-0.001,-0.004,-0.004
,-0.001,-0.003,-0.003
,-0.001,-0.001,-0.001
,-0.002,0,0
,-0.004,-0.002,-0.002
,-0.006,-0.004,-0.004
,-0.006,-0.006,-0.006
,-0.006,-0.005,-0.005
,-0.004,-0.002,-0.002
,-0.003,0.001,0.001
,-0.004,0.004,0.004
,-0.005,0.006,0.006
,-0.007,0.006,0.006
,-0.007,0.004,0.004
,-0.006,0.002,0.002
,-0.004,-0.001,-0.001
,-0.001,-0.004,-0.004
,0.002,-0.005,-0.005
,0.003,-0.004,-0.004
,0.004,-0.003,-0.003
,0.004,-0.002,-0.002
,0.004,-0.003,-0.003
,0.005,-0.005,-0.005
,0.007,-0.009,-0.009
,0.008,-0.011,-0.011
,0.009,-0.013,-0.013
,0.007,-0.012,-0.012
,0.004,-0.011,-0.011
,0,-0.011,-0.011
,-0.002,-0.011,-0.011
,-0.002,-0.012,-0.012
,0.001,-0.011,-0.011
,0.004,-0.009,-0.009
,0.006,-0.004,-0.004
,0.008,0.005,0.005
,0.009,0.016,0.016
,0.011,0.03,0.03
,0.013,0.046,0.046
,0.015,0.061,0.061
,0.017,0.071,0.071
,0.016,0.076,0.076
,0.014,0.075,0.075
,0.01,0.073,0.073
,0.006,0.07,0.07
,0.002,0.068,0.068
,0,0.066,0.066
,-0.001,0.061,0.061
,-0.002,0.05,0.05
,-0.002,0.033,0.033
,-0.003,0.012,0.012
,-0.005,-0.01,-0.01
,-0.009,-0.028,-0.028
,-0.013,-0.043,-0.043
,-0.02,-0.053,-0.053
,-0.027,-0.062,-0.062
,-0.035,-0.07,-0.07
,-0.042,-0.075,-0.075
,-0.047,-0.077,-0.077
,-0.046,-0.074,-0.074
,-0.041,-0.066,-0.066
,-0.033,-0.057,-0.057
,-0.023,-0.048,-0.048
,-0.015,-0.042,-0.042
,-0.008,-0.038,-0.038
,-0.003,-0.035,-0.035
,0.002,-0.03,-0.03
,0.005,-0.023,-0.023
,0.008,-0.017,-0.017
,0.01,-0.011,-0.011
,0.011,-0.007,-0.007
,0.011,-0.005,-0.005
,0.012,-0.003,-0.003
,0.012,0,0
,0.012,0.002,0.002
,0.011,0.005,0.005
,0.011,0.008,0.008
,0.009,0.009,0.009
,0.008,0.009,0.009
,0.007,0.008,0.008
,0.007,0.007,0.007
,0.008,0.007,0.007
,0.009,0.007,0.007
,0.011,0.007,0.007
,0.013,0.006,0.006
,0.013,0.004,0.004
,0.013,0.003,0.003
,0.012,0.003,0.003
,0.01,0.004,0.004
,0.009,0.005,0.005
,0.008,0.006,0.006
,0.008,0.007,0.007
,0.009,0.009,0.009
,0.009,0.01,0.01
,0.009,0.012,0.012
,0.007,0.013,0.013
,0.004,0.013,0.013
,0.002,0.013,0.013
,0,0.012,0.012
,0,0.012,0.012
,0,0.012,0.012
,0.001,0.01,0.01
,0.001,0.007,0.007
,0,0.004,0.004
,-0.002,0.002,0.002
,-0.003,0.002,0.002
,-0.005,0.005,0.005
,-0.005,0.007,0.007
,-0.005,0.006,0.006
,-0.003,0.003,0.003
,-0.001,-0.001,-0.001
,0.001,-0.005,-0.005
,0.001,-0.005,-0.005
,0,-0.004,-0.004
,-0.002,-0.001,-0.001
,-0.003,0.001,0.001
,-0.004,0.001,0.001
,-0.003,-0.001,-0.001
,-0.002,-0.004,-0.004
,-0.001,-0.006,-0.006
,-0.002,-0.006,-0.006
,-0.002,-0.004,-0.004
,-0.003,-0.001,-0.001
,-0.004,0.001,0.001
,-0.005,0.001,0.001
,-0.005,0,0
,-0.004,-0.003,-0.003
,-0.001,-0.005,-0.005
,0.002,-0.006,-0.006
,0.006,-0.006,-0.006
,0.007,-0.004,-0.004
,0.005,-0.001,-0.001
,0,0.002,0.002
,-0.006,0.004,0.004
,-0.01,0.005,0.005
,-0.009,0.005,0.005
,-0.004,0.003,0.003
,0.002,0.001,0.001
,0.007,-0.001,-0.001
,0.01,-0.002,-0.002
,0.008,-0.002,-0.002
,0.005,-0.002,-0.002
,0.002,-0.001,-0.001
,0.001,0,0
,0.001,0.002,0.002
,0.001,0.003,0.003
,0.001,0.004,0.004
,0.001,0.003,0.003
,0,0.001,0.001
,0.001,0,0
,0.002,0.001,0.001
,0.002,0.003,0.003
,0,0.004,0.004
,-0.003,0.005,0.005
,-0.006,0.002,0.002
,-0.008,-0.001,-0.001
,-0.006,-0.004,-0.004
,-0.003,-0.004,-0.004
,0,-0.002,-0.002
,0.001,0.001,0.001
,0.001,0.003,0.003
,0,0.003,0.003
,0,-0.001,-0.001
,0.002,-0.005,-0.005
,0.003,-0.009,-0.009
,0.004,-0.01,-0.01
,0.004,-0.01,-0.01
,0.003,-0.008,-0.008
,0.001,-0.005,-0.005
,0,-0.003,-0.003
,-0.002,0,0
,-0.002,0.002,0.002
,-0.002,0.004,0.004
,-0.001,0.005,0.005
,0.001,0.005,0.005
,0.003,0.005,0.005
,0.004,0.005,0.005
,0.005,0.007,0.007
,0.005,0.011,0.011
,0.004,0.014,0.014
,0.003,0.016,0.016
,0.002,0.015,0.015
,0,0.012,0.012
,-0.002,0.009,0.009
,-0.002,0.007,0.007
,0,0.006,0.006
,0.002,0.005,0.005
,0.003,0.003,0.003
,0.003,-0.001,-0.001
,0.002,-0.004,-0.004
,-0.001,-0.007,-0.007
,-0.003,-0.007,-0.007
,-0.005,-0.007,-0.007
,-0.005,-0.005,-0.005
,-0.005,-0.004,-0.004
,-0.003,-0.002,-0.002
,-0.001,-0.001,-0.001
,0.001,0,0
,0.002,0.001,0.001
,0.002,0,0
,0.001,-0.001,-0.001
,0,-0.003,-0.003
,-0.001,-0.005,-0.005
,0,-0.007,-0.007
,0.002,-0.007,-0.007
,0.006,-0.006,-0.006
,0.009,-0.005,-0.005
,0.011,-0.004,-0.004
,0.011,-0.004,-0.004
,0.01,-0.003,-0.003
,0.008,-0.002,-0.002
,0.009,0,0
,0.011,0.002,0.002
,0.015,0.005,0.005
,0.018,0.007,0.007
,0.018,0.007,0.007
,0.015,0.007,0.007
,0.009,0.007,0.007
,0.004,0.007,0.007
,0.001,0.007,0.007
,0,0.005,0.005
,0,0.003,0.003
,0,0.001,0.001
,-0.001,-0.001,-0.001
,-0.003,-0.002,-0.002
,-0.006,-0.003,-0.003
,-0.008,-0.003,-0.003
,-0.009,-0.004,-0.004
,-0.011,-0.005,-0.005
,-0.014,-0.007,-0.007
,-0.016,-0.007,-0.007
,-0.018,-0.007,-0.007
,-0.018,-0.004,-0.004
,-0.016,-0.001,-0.001
,-0.014,0.003,0.003
,-0.012,0.005,0.005
,-0.01,0.005,0.005
,-0.01,0,0
,-0.011,-0.006,-0.006
,-0.012,-0.013,-0.013
,-0.013,-0.019,-0.019
,-0.013,-0.023,-0.023
,-0.014,-0.024,-0.024
,-0.013,-0.023,-0.023
,-0.013,-0.022,-0.022
,-0.012,-0.019,-0.019
,-0.012,-0.016,-0.016
,-0.012,-0.013,-0.013
,-0.013,-0.011,-0.011
,-0.014,-0.011,-0.011
,-0.014,-0.012,-0.012
,-0.012,-0.015,-0.015
,-0.008,-0.017,-0.017
,-0.003,-0.019,-0.019
,0.005,-0.022,-0.022
,0.013,-0.025,-0.025
,0.021,-0.029,-0.029
,0.029,-0.035,-0.035
,0.034,-0.041,-0.041
,0.038,-0.044,-0.044
,0.04,-0.043,-0.043
,0.043,-0.039,-0.039
,0.046,-0.032,-0.032
,0.048,-0.026,-0.026
